paper number,Title,doi,strain,strain type,product,product titer,medium,carbon source,carbon source concentration,vessel and feed mode,ph,time,temperature,parent strain,knock out gene,overexpress gene,heterologous gene,Check,feedback,Check type
30.0,High-level production of linalool by engineered Saccharomyces cerevisiae harboring dual mevalonate pathways in mitochondria and cytoplasm,10.1016.j.enzmictec.2019.109462,YMC216,Saccharomyces,linalool (linalool),10.14 mg/L,SS-URA with 4 g/L pyruvate,pyruvate,4 g/L,shake flask,5.0,3 days,30 °C,BY4742;BY4742-MC-02,DPP1;IDI1;LPP1,ERG20;ERG20F96W-N127W;IDI1;LIS;tHMG1,ERG20 (S. cerevisiae S288C);ERG20F96W-N127W (S. cerevisiae S288C);LIS (C. osmophloeum),,,
30.0,High-level production of linalool by engineered Saccharomyces cerevisiae harboring dual mevalonate pathways in mitochondria and cytoplasm,10.1016.j.enzmictec.2019.109462,YMC216,Saccharomyces,linalool (linalool),13.60 mg/L,SS-URA with 70 mg/L mevalonolactone,mevalonolactone,70 mg/L,shake flask,5.0,3 days,30 °C,BY4742;BY4742-MC-02,DPP1;IDI1;LPP1,ERG20;ERG20F96W-N127W;IDI1;LIS;tHMG1,ERG20 (S. cerevisiae S288C);ERG20F96W-N127W (S. cerevisiae S288C);LIS (C. osmophloeum),,,
30.0,High-level production of linalool by engineered Saccharomyces cerevisiae harboring dual mevalonate pathways in mitochondria and cytoplasm,10.1016.j.enzmictec.2019.109462,YMC101,Saccharomyces,linalool (linalool),0.82 mg/L,SS-URA,sucrose,2% D-sucrose,shake flask,5.0,3 days,30 °C,BY4742-MC-02,DPP1;IDI1;LPP1,IDI1;LIS;tHMG1,LIS (C. osmophloeum),,,
30.0,High-level production of linalool by engineered Saccharomyces cerevisiae harboring dual mevalonate pathways in mitochondria and cytoplasm,10.1016.j.enzmictec.2019.109462,YMC101,Saccharomyces,linalool (linalool),0.82 mg/L,SS-URA,sucrose,2% D-sucrose,shake flask,5.0,3 days,30 °C,BY4742-MC-02,DPP1;IDI1;LPP1,IDI1;LIS;tHMG1,LIS (C. osmophloeum),,,
30.0,High-level production of linalool by engineered Saccharomyces cerevisiae harboring dual mevalonate pathways in mitochondria and cytoplasm,10.1016.j.enzmictec.2019.109462,BY4742-MC-01,Saccharomyces,linalool (linalool),1.24 mg/L,SS-URA,sucrose,2% D-sucrose,shake flask,5.0,3 days,30 °C,BY4742,DPP1;LPP1,LIS;tHMG1,LIS (C. osmophloeum),,,yes
30.0,High-level production of linalool by engineered Saccharomyces cerevisiae harboring dual mevalonate pathways in mitochondria and cytoplasm,10.1016.j.enzmictec.2019.109462,YMC216,Saccharomyces,linalool (linalool),7.61 mg/L,SS-URA,sucrose,2% D-sucrose,shake flask,5.0,3 days,30 °C,BY4742;BY4742-MC-02,DPP1;IDI1;LPP1,ERG20;ERG20F96W-N127W;IDI1;LIS;tHMG1,ERG20 (S. cerevisiae S288C);ERG20F96W-N127W (S. cerevisiae S288C);LIS (C. osmophloeum),,,
30.0,High-level production of linalool by engineered Saccharomyces cerevisiae harboring dual mevalonate pathways in mitochondria and cytoplasm,10.1016.j.enzmictec.2019.109462,BY4742-MC-01,Saccharomyces,linalool (linalool),1.24 mg/L,SS-URA,sucrose,2% D-sucrose,shake flask,5.0,3 days,30 °C,BY4742,DPP1;LPP1,LIS;tHMG1,LIS (C. osmophloeum),,,yes
30.0,High-level production of linalool by engineered Saccharomyces cerevisiae harboring dual mevalonate pathways in mitochondria and cytoplasm,10.1016.j.enzmictec.2019.109462,BY4742-MC-01,Saccharomyces,linalool (linalool),724.17 μg/L,SS-URA,sucrose,2% D-sucrose,shake flask,5.0,3 days,30 °C,BY4742,DPP1;LPP1,LIS;tHMG1,LIS (C. osmophloeum),,,yes
30.0,High-level production of linalool by engineered Saccharomyces cerevisiae harboring dual mevalonate pathways in mitochondria and cytoplasm,10.1016.j.enzmictec.2019.109462,BY4742-MC-01,Saccharomyces,linalool (linalool),724.17 μg/L,SS-URA,sucrose,2% D-sucrose,shake flask,5.0,3 days,30 °C,BY4742,DPP1;LPP1,LIS;tHMG1,LIS (C. osmophloeum),,,yes
30.0,High-level production of linalool by engineered Saccharomyces cerevisiae harboring dual mevalonate pathways in mitochondria and cytoplasm,10.1016.j.enzmictec.2019.109462,YMC216,Saccharomyces,linalool (linalool),10.14 mg/L,SS-URA with 4 g/L pyruvate,pyruvate,4 g/L,shake flask,5.0,3 days,30 °C,BY4742;BY4742-MC-02,DPP1;IDI1;LPP1,ERG20;ERG20F96W-N127W;IDI1;LIS;tHMG1,ERG20 (S. cerevisiae S288C);ERG20F96W-N127W (S. cerevisiae S288C);LIS (C. osmophloeum),,,
,,,,,,,,,,,,,,,,,,,,
31.0,Enhance production of diterpenoids in yeast by overexpression of the fused enzyme of ERG20 and its mutant mERG20,10.1016.j.jbiotec.2019.10.019,DH06,yeast,GGOH (Geranylgeraniol),68 μg/L,YPD,Glucose,2% (w/v),Shake flask,5.0,96 h,30 °C,DH02,ERG9,BTS1;ERG20;ERG20-mERG20;PHXT1;UPC2;mERG20;tHMG1,,,PHXT1应该是启动子用于基因的调控的呢，其他的没啥问题,
31.0,Enhance production of diterpenoids in yeast by overexpression of the fused enzyme of ERG20 and its mutant mERG20,10.1016.j.jbiotec.2019.10.019,DH11,yeast,GGOH (Geranylgeraniol),6.86 mg/L,YPD,Glucose,2% (w/v),Shake flask,5.0,96 h,30 °C,DH02,ERG9,BTS1;ERG20;ERG20-mERG20;PHXT1;UPC2;mERG20;tHMG1,,,,
31.0,Enhance production of diterpenoids in yeast by overexpression of the fused enzyme of ERG20 and its mutant mERG20,10.1016.j.jbiotec.2019.10.019,DH10,yeast,GGOH (Geranylgeraniol),5.42 mg/L,YPD,Glucose,2% (w/v),Shake flask,5.0,96 h,30 °C,DH02,ERG9,BTS1;BTS1-ERG20;ERG20;PHXT1;UPC2;tHMG1,,,,
31.0,Enhance production of diterpenoids in yeast by overexpression of the fused enzyme of ERG20 and its mutant mERG20,10.1016.j.jbiotec.2019.10.019,DH05,yeast,GGOH (Geranylgeraniol),49 μg/L,YPD,Glucose,2% (w/v),Shake flask,5.0,96 h,30 °C,DH02,ERG9,BTS1;ERG20;PHXT1;UPC2;tHMG1,,,,
31.0,Enhance production of diterpenoids in yeast by overexpression of the fused enzyme of ERG20 and its mutant mERG20,10.1016.j.jbiotec.2019.10.019,DH04,yeast,GGOH (Geranylgeraniol),3.97 mg/L,YPD,Glucose,2% (w/v),Shake flask,5.0,96 h,30 °C,DH02,ERG9,BTS1;ERG20;PHXT1;UPC2;tHMG1,,,,
31.0,Enhance production of diterpenoids in yeast by overexpression of the fused enzyme of ERG20 and its mutant mERG20,10.1016.j.jbiotec.2019.10.019,DH09,yeast,GGOH (Geranylgeraniol),224 μg/L,YPD,Glucose,2% (w/v),Shake flask,5.0,96 h,30 °C,DH02,ERG9,BTS1;ERG20;PHXT1;UPC2;mERG20;tHMG1,,,,
31.0,Enhance production of diterpenoids in yeast by overexpression of the fused enzyme of ERG20 and its mutant mERG20,10.1016.j.jbiotec.2019.10.019,DH07,yeast,GGOH (Geranylgeraniol),219 μg/L,YPD,Glucose,2% (w/v),Shake flask,5.0,96 h,30 °C,DH02,ERG9,BTS1;ERG20;PHXT1;UPC2;mERG20;mERG20-ERG20;tHMG1,,,,
31.0,Enhance production of diterpenoids in yeast by overexpression of the fused enzyme of ERG20 and its mutant mERG20,10.1016.j.jbiotec.2019.10.019,DH13,yeast,GGOH (Geranylgeraniol),12.54 mg/L,YPD,Glucose,2% (w/v),Shake flask,5.0,96 h,30 °C,DH02,ERG9,BTS1;ERG20;PHXT1;UPC2;mERG20;tHMG1,,,,
31.0,Enhance production of diterpenoids in yeast by overexpression of the fused enzyme of ERG20 and its mutant mERG20,10.1016.j.jbiotec.2019.10.019,DH13,yeast,GGOH (Geranylgeraniol),11.41 mg/L,YPD,Glucose,2% (w/v),Shake flask,5.0,96 h,30 °C,DH02,ERG9,BTS1;ERG20;PHXT1;UPC2;mERG20;tHMG1,,,,
31.0,Enhance production of diterpenoids in yeast by overexpression of the fused enzyme of ERG20 and its mutant mERG20,10.1016.j.jbiotec.2019.10.019,DH08,yeast,GGOH (Geranylgeraniol),239 μg/L,YPD,Glucose,2% (w/v),Shake flask,5.0,96 h,30 °C,DH02,ERG9,BTS1;BTS1-ERG20;ERG20;PHXT1;UPC2;tHMG1,,,,
,,,,,,,,,,,,,,,,,,,,
32.0,A squalene synthase protein degradation method for improved sesquiterpene production in Saccharomyces cerevisiae,10.1016.j.ymben.2016.12.003,O6,Saccharomyces cerevisiae,geranylgeraniol (geranylgeraniol),~0.7mgL^-1,Synthetic minimal mineral medium (SM),glucose,20gL^-1,Flask cultivation,6.0,72h,30°C,Oref,,ERG1;ERG10;ERG12;ERG13;ERG2;ERG20;ERG8;IDI1;MVD1;tHMG1,,,,yes
,,,,,,,,,,,,,,,,,,,,
33.0,Manipulation of GES and ERG20 for geraniol overproduction in Saccharomyces cerevisiae,10.1016.j.ymben.2017.03.005,yJGZ24,Saccharomyces cerevisiae,geraniol (geraniol),236.34mg/L,SC,glucose,not specified,shake flask culture,5.7,120h,30°C,yJGZ9,GAL80,CrGES;GES;VoGES;t3CrGES,CrGES (Catharanthus roseus);GES (Catharanthus roseus);VoGES (Valeriana officinalis);t3CrGES (Catharanthus roseus),,,yes
33.0,Manipulation of GES and ERG20 for geraniol overproduction in Saccharomyces cerevisiae,10.1016.j.ymben.2017.03.005,yJGZ8,Saccharomyces cerevisiae,geraniol (geraniol),43.19mg/L,SC,glucose,not specified,shake flask culture,5.7,120h,30°C,,,CrGES;GES,CrGES (Catharanthus roseus);GES (Catharanthus roseus),,,yes
33.0,Manipulation of GES and ERG20 for geraniol overproduction in Saccharomyces cerevisiae,10.1016.j.ymben.2017.03.005,yJGZ24,Saccharomyces cerevisiae,geraniol (geraniol),236.34mg/L,SC,glucose,not specified,shake flask culture,5.7,120h,30°C,yJGZ9,GAL80,CrGES;GES;VoGES;t3CrGES,CrGES (Catharanthus roseus);GES (Catharanthus roseus);VoGES (Valeriana officinalis);t3CrGES (Catharanthus roseus),,,yes
33.0,Manipulation of GES and ERG20 for geraniol overproduction in Saccharomyces cerevisiae,10.1016.j.ymben.2017.03.005,yJGZ8,Saccharomyces cerevisiae,geraniol (geraniol),43.19mg/L,SC,glucose,not specified,shake flask culture,5.7,120h,30°C,,,CrGES;GES,CrGES (Catharanthus roseus);GES (Catharanthus roseus),,,yes
33.0,Manipulation of GES and ERG20 for geraniol overproduction in Saccharomyces cerevisiae,10.1016.j.ymben.2017.03.005,yJGZ21,Saccharomyces cerevisiae,geraniol (geraniol),191.61mg/L,SD,glucose,not specified,shake flask culture,5.7,120h,30°C,yJGZ9,GAL80,CrGES;GES;VoGES;t3CrGES,CrGES (Catharanthus roseus);GES;VoGES (Valeriana officinalis);t3CrGES (Catharanthus roseus),,,yes
33.0,Manipulation of GES and ERG20 for geraniol overproduction in Saccharomyces cerevisiae,10.1016.j.ymben.2017.03.005,yJGZ28,Saccharomyces cerevisiae,geraniol (geraniol),523.96mg/L,SC,glucose,not specified,shake flask culture,5.7,120h,30°C,yJGZ24,GAL80,CrGES;Erg20;GES;VoGES;t3CrGES,CrGES (Catharanthus roseus);Erg20 (S. cerevisiae);GES (Catharanthus roseus);VoGES (Valeriana officinalis);t3CrGES (Catharanthus roseus),,,yes
33.0,Manipulation of GES and ERG20 for geraniol overproduction in Saccharomyces cerevisiae,10.1016.j.ymben.2017.03.005,yJGZ28,Saccharomyces cerevisiae,geraniol (geraniol),523.96mg/L,SC,glucose,not specified,shake flask culture,5.7,120h,30°C,yJGZ24,GAL80,CrGES;Erg20;GES;VoGES;t3CrGES,CrGES (Catharanthus roseus);Erg20 (S. cerevisiae);GES (Catharanthus roseus);VoGES (Valeriana officinalis);t3CrGES (Catharanthus roseus),,,yes
33.0,Manipulation of GES and ERG20 for geraniol overproduction in Saccharomyces cerevisiae,10.1016.j.ymben.2017.03.005,yJGZ28,Saccharomyces cerevisiae,geraniol (geraniol),1.68g/L,YPD,"glucose, ethanol",not specified,fed-batch fermentation in a 5L bioreactor,5.7,130h,30°C,yJGZ24,GAL80,CrGES;Erg20;GES;VoGES;t3CrGES,CrGES (Catharanthus roseus);Erg20 (S. cerevisiae);GES (Catharanthus roseus);VoGES (Valeriana officinalis);t3CrGES (Catharanthus roseus),,,yes
33.0,Manipulation of GES and ERG20 for geraniol overproduction in Saccharomyces cerevisiae,10.1016.j.ymben.2017.03.005,yJGZ28,Saccharomyces cerevisiae,geraniol (geraniol),1.68g/L,YPD,"glucose, ethanol",not specified,fed-batch fermentation in a 5L bioreactor,5.7,130h,30°C,yJGZ24,GAL80,CrGES;Erg20;GES;VoGES;t3CrGES,CrGES (Catharanthus roseus);Erg20 (S. cerevisiae);GES (Catharanthus roseus);VoGES (Valeriana officinalis);t3CrGES (Catharanthus roseus),,,yes
33.0,Manipulation of GES and ERG20 for geraniol overproduction in Saccharomyces cerevisiae,10.1016.j.ymben.2017.03.005,yJGZ21,Saccharomyces cerevisiae,geraniol (geraniol),191.61mg/L,SD,glucose,not specified,shake flask culture,5.7,120h,30°C,yJGZ9,GAL80,CrGES;GES;VoGES;t3CrGES,CrGES (Catharanthus roseus);GES;VoGES (Valeriana officinalis);t3CrGES (Catharanthus roseus),,,yes
,,,,,,,,,,,,,,,,,,,,
34.0,A push-pull-restrain strategy to improve citronellol production in Saccharomyces cerevisiae,10.1016.j.ymben.2021.03.019,yJGZ1,Saccharomyces cerevisiae,geraniol (geraniol),66.53mg/L,SC-LEU medium,glucose,2% (w/v) dextrose,shake-flask fermentation,5.8,120h,30°C,,,IDI1;tHMGR,,,,yes
34.0,A push-pull-restrain strategy to improve citronellol production in Saccharomyces cerevisiae,10.1016.j.ymben.2021.03.019,yJGZ1,Saccharomyces cerevisiae,geraniol (geraniol),66.53mg/L,SC-LEU medium,glucose,2% (w/v) dextrose,shake-flask fermentation,5.8,120h,30°C,,,IDI1;tHMGR,,,,yes
34.0,A push-pull-restrain strategy to improve citronellol production in Saccharomyces cerevisiae,10.1016.j.ymben.2021.03.019,yJGZ1,Saccharomyces cerevisiae,geraniol (geraniol),53.84mg/L,SC-LEU medium,glucose,2% (w/v) dextrose,shake-flask fermentation,5.8,120h,30°C,,,IDI1;tHMGR,,,,yes
34.0,A push-pull-restrain strategy to improve citronellol production in Saccharomyces cerevisiae,10.1016.j.ymben.2021.03.019,yJGZ1,Saccharomyces cerevisiae,geraniol (geraniol),53.84mg/L,SC-LEU medium,glucose,2% (w/v) dextrose,shake-flask fermentation,5.8,120h,30°C,,,IDI1;tHMGR,,,,yes
34.0,A push-pull-restrain strategy to improve citronellol production in Saccharomyces cerevisiae,10.1016.j.ymben.2021.03.019,yJGZ1,Saccharomyces cerevisiae,citronellol (citronellol),66.53mg/L,SC-LEU medium,glucose,2% (w/v) dextrose,shake-flask fermentation,5.8,120h,30°C,,,IDI1;tHMGR,,,,yes
34.0,A push-pull-restrain strategy to improve citronellol production in Saccharomyces cerevisiae,10.1016.j.ymben.2021.03.019,yJGZ1,Saccharomyces cerevisiae,citronellol (citronellol),53.84mg/L,SC-LEU medium,glucose,2% (w/v) dextrose,shake-flask fermentation,5.8,120h,30°C,,,IDI1;tHMGR,,,,yes
34.0,A push-pull-restrain strategy to improve citronellol production in Saccharomyces cerevisiae,10.1016.j.ymben.2021.03.019,yJGZ1,Saccharomyces cerevisiae,citronellol (citronellol),53.84mg/L,SC-LEU medium,glucose,2% (w/v) dextrose,shake-flask fermentation,5.8,120h,30°C,,,IDI1;tHMGR,,,,yes
34.0,A push-pull-restrain strategy to improve citronellol production in Saccharomyces cerevisiae,10.1016.j.ymben.2021.03.019,yJGZ1,Saccharomyces cerevisiae,citronellol (citronellol),66.53mg/L,SC-LEU medium,glucose,2% (w/v) dextrose,shake-flask fermentation,5.8,120h,30°C,,,IDI1;tHMGR,,,,yes
,,,,,,,,,,,,,,,,,,,,
35.0,Machine-learning guided elucidation of contribution of individual steps in the mevalonate pathway and construction of a yeast platform strain for terpenoid production,10.1016.j.ymben.2022.10.004,MVAc1,Saccharomyces cerevisiae,geraniol (geraniol),over 2.5-fold increased geraniol yield after 12h of shake-flask cultivation,YPD,glucose,2% (w/v),shake flask,30°C,12h,200rpm,,,ERG1;ERG10;tHMG1,ERG20;ERG20ww (S. cerevisiae);tObGES (Castellaniella defragrans);tObGES-ERG20ww (Castellaniella defragrans),,,yes
,,,,,,,,,,,,,,,,,,,,
36.0,De novo production of six key grape aroma monoterpenes by a geraniol synthase-engineered S. cerevisiae wine strain,10.1186.s12934-015-0306-5,YR378,Saccharomyces cerevisiae,geraniol (geraniol),"7,859.12 ± 1,614.62 μg/L",YPD,Glucose,2%,"Flask, batch",Not specified,32 hours,30°C,,,GES,GES (Ocimum basilicum),,,yes
36.0,De novo production of six key grape aroma monoterpenes by a geraniol synthase-engineered S. cerevisiae wine strain,10.1186.s12934-015-0306-5,YR378,Saccharomyces cerevisiae,geraniol (geraniol),"7,859.12 ± 1,614.62 μg/L",YPD,Glucose,2%,"Flask, batch",Not specified,32 hours,30°C,,,GES,GES (Ocimum basilicum),,,
36.0,De novo production of six key grape aroma monoterpenes by a geraniol synthase-engineered S. cerevisiae wine strain,10.1186.s12934-015-0306-5,YR377,Saccharomyces cerevisiae,geraniol (geraniol),"8,017.85 ± 1,245.81 μg/L",YPD,Glucose,2%,"Flask, batch",Not specified,32 hours,30°C,,,GES,GES (Ocimum basilicum),,,
36.0,De novo production of six key grape aroma monoterpenes by a geraniol synthase-engineered S. cerevisiae wine strain,10.1186.s12934-015-0306-5,YR377,Saccharomyces cerevisiae,geraniol (geraniol),"8,017.85 ± 1,245.81 μg/L",YPD,Glucose,2%,"Flask, batch",Not specified,32 hours,30°C,,,GES,GES (Ocimum basilicum),,,
36.0,De novo production of six key grape aroma monoterpenes by a geraniol synthase-engineered S. cerevisiae wine strain,10.1186.s12934-015-0306-5,T73Lis,Saccharomyces cerevisiae,linalool (linalool),~141 μg/L,Synthetic葡萄酒发酵,葡萄糖,Not specified,Wine fermentation,Not specified,Not specified,Not specified,,,LIS,LIS (C. breweri),,,yes
36.0,De novo production of six key grape aroma monoterpenes by a geraniol synthase-engineered S. cerevisiae wine strain,10.1186.s12934-015-0306-5,T73Lis,Saccharomyces cerevisiae,linalool (linalool),~141 μg/L,Synthetic葡萄酒发酵,葡萄糖,Not specified,Wine fermentation,Not specified,Not specified,Not specified,,,LIS,LIS (C. breweri),,,
,,,,,,,,,,,,,,,,,,,,
37.0,High-titer production of 13R-manoyl oxide in metabolically engineered Saccharomyces cerevisiae,10.1186.s12934-019-1123-z,LZJ3,Saccharomyces cerevisiae,geranylgeraniol (GGOH) (geranylgeraniol),40.91 mg/L,YPD,glucose,20 g/L,Shake flask,5.5,96 h,30 °C,LZJ2,ERG20;tHMG1,,,,"应该是过表达ERG20和Thmg1,且不是用于单萜类的产物的方法",
37.0,High-titer production of 13R-manoyl oxide in metabolically engineered Saccharomyces cerevisiae,10.1186.s12934-019-1123-z,LZJ7,Saccharomyces cerevisiae,geranylgeraniol (GGOH) (geranylgeraniol),51.13 mg/L,YPD,glucose,20 g/L,"Shake flask, biphasic",5.5,96 h,30 °C,LZJ6;W303-1a,ERG20;tHMG1,CfTPS2;CfTPS3,Bts1 ( Saccharomyces cerevisiae);Erg20p ( Saccharomyces cerevisiae),,,
37.0,High-titer production of 13R-manoyl oxide in metabolically engineered Saccharomyces cerevisiae,10.1186.s12934-019-1123-z,LZJ5,Saccharomyces cerevisiae,geranylgeraniol (GGOH) (geranylgeraniol),93.12 mg/L,YPD,glucose,20 g/L,Shake flask,5.5,96 h,30 °C,LZJ2,ERG20;tHMG1,,,,,
,,,,,,,,,,,,,,,,,,,,
38.0,Enhancement of linalool production in Saccharomyces cerevisiae by utilizing isopentenol utilization pathway,10.1186.s12934-022-01934-x,YMC219,Saccharomyces cerevisiae,linalool (linalool),5.29 mg/L,SS-URA,sucrose,20%,shake flask,-,72 h,30 °C,BY4742-MC-02,GAL80,AaLS1;ERG20F96W−N127W;t78AaLS1,AaLS1 (Actinidia arguta);t78AaLS1 (Actinidia arguta),,,yes
38.0,Enhancement of linalool production in Saccharomyces cerevisiae by utilizing isopentenol utilization pathway,10.1186.s12934-022-01934-x,YMC217,Saccharomyces cerevisiae,linalool (linalool),12.67 mg/L,SS-URA,sucrose,20%,shake flask,-,72 h,30 °C,BY4742-MC-02,GAL80,AaLS1;ERG20F96W−N127W,AaLS1 (Actinidia arguta),,,yes
38.0,Enhancement of linalool production in Saccharomyces cerevisiae by utilizing isopentenol utilization pathway,10.1186.s12934-022-01934-x,Sclin05,Saccharomyces cerevisiae,linalool (linalool),17.28 mg/L,YPS,prenol (35 mM),-,shake flask,-,72 h,30 °C,ScLin03,GAL80,AaLS1;AtIPK;ERG20F96W−N127W;IDI1;ScCK;t26AaLS1,AaLS1 (Actinidia arguta);t26AaLS1 (Actinidia arguta),,,yes
38.0,Enhancement of linalool production in Saccharomyces cerevisiae by utilizing isopentenol utilization pathway,10.1186.s12934-022-01934-x,Sclin05,Saccharomyces cerevisiae,linalool (linalool),53.03 mg/L,YPS,isoprenol + prenol (17.5 mM each),-,shake flask,-,72 h,30 °C,ScLin03,GAL80,AaLS1;AtIPK;ERG20F96W−N127W;IDI1;ScCK;t26AaLS1,AaLS1 (Actinidia arguta);t26AaLS1 (Actinidia arguta),,,yes
38.0,Enhancement of linalool production in Saccharomyces cerevisiae by utilizing isopentenol utilization pathway,10.1186.s12934-022-01934-x,Sclin05,Saccharomyces cerevisiae,linalool (linalool),8.55 mg/L,YPS,isoprenol (35 mM),-,shake flask,-,72 h,30 °C,ScLin03,GAL80,AaLS1;AtIPK;ERG20F96W−N127W;IDI1;ScCK;t26AaLS1,AaLS1 (Actinidia arguta);t26AaLS1 (Actinidia arguta),,,yes
38.0,Enhancement of linalool production in Saccharomyces cerevisiae by utilizing isopentenol utilization pathway,10.1186.s12934-022-01934-x,YMC218,Saccharomyces cerevisiae,linalool (linalool),23.81 mg/L,SS-URA,sucrose,20%,shake flask,-,72 h,30 °C,BY4742-MC-02,GAL80,AaLS1;ERG20F96W−N127W;t26AaLS1,AaLS1 (Actinidia arguta);t26AaLS1 (Actinidia arguta),,,yes
38.0,Enhancement of linalool production in Saccharomyces cerevisiae by utilizing isopentenol utilization pathway,10.1186.s12934-022-01934-x,Sclin01,Saccharomyces cerevisiae,linalool (linalool),23.94 mg/g DCW,SS-URA,sucrose,20%,shake flask,-,72 h,30 °C,BY4742,GAL80,,,,,yes
38.0,Enhancement of linalool production in Saccharomyces cerevisiae by utilizing isopentenol utilization pathway,10.1186.s12934-022-01934-x,Sclin06,Saccharomyces cerevisiae,linalool (linalool),24.65 mg/L,SS-URA,sucrose,20%,shake flask,-,72 h,30 °C,ScLin03,GAL80,AaLS1;AtIPK;ERG20F96W−N127W;IDI1;ScCK;t26AaLS1;tAgGPPS,AaLS1 (Actinidia arguta);t26AaLS1 (Actinidia arguta);tAgGPPS (Abies grandis),,,yes
38.0,Enhancement of linalool production in Saccharomyces cerevisiae by utilizing isopentenol utilization pathway,10.1186.s12934-022-01934-x,Sclin04,Saccharomyces cerevisiae,linalool (linalool),37.01 mg/L,YPS,isoprenol + prenol (17.5 mM each),-,shake flask,-,72 h,30 °C,ScLin03,GAL80,AaLS1;AtIPK;ERG20F96W−N127W;IDI1;ScCK;t26AaLS1,AaLS1 (Actinidia arguta);t26AaLS1 (Actinidia arguta),,,yes
,,,,,,,,,,,,,,,,,,,,
39.0,Improved production of Taxol® precursors in S. cerevisiae using combinatorial in silico design and metabolic engineering,10.1186.s12934-023-02251-7,KM31,Saccharomyces cerevisiae,geranylgeraniol (GGOH) (geranylgeraniol),219 mg/L,BioLector Pro,Galactose,2% (w/v),Microbioreactor,5.0,72 h,30 °C,KM1,OAR1;TRR1,,,,但不是产物不是单萜,yes
39.0,Improved production of Taxol® precursors in S. cerevisiae using combinatorial in silico design and metabolic engineering,10.1186.s12934-023-02251-7,KMRJ19,Saccharomyces cerevisiae,geranylgeraniol (GGOH) (geranylgeraniol),221 mg/L,BioLector Pro,Glucose,2% (w/v),Microbioreactor,5.0,72 h,30 °C,EJ1,DTR1;GAL80,,,,,yes
,,,,,,,,,,,,,,,,,,,,
40.0,Bornyl Diphosphate Synthase From Cinnamomum burmanni and Its Application for (+)-Borneol Biosynthesis in Yeast,10.3389.fbioe.2021.631863,MD,Saccharomyces cerevisiae,geraniol (geraniol),12.52 mg/L,SD-Leu-Ura,Glucose,2%,Shake Flask,5.0,48 h,30°C,CEN.PK2-1D,ERG10;ERG12;ERG13;ERG19;ERG8;IDI1;tHMG1,CbTPS1;ERG10;ERG12;ERG13;ERG19;ERG20;ERG8;IDI1;tHMG1,CbTPS1 (Cinnamomum burmannii);t10-CbTPS1 (Cinnamomum burmanni);t32-CbTPS1 (Cinnamomum burmanni);t37-CbTPS1 (Cinnamomum burmanni),,敲除的那个不正常呢,
,,,,,,,,,,,,,,,,,,,,
41.0,The Neurospora crassa Inducible Q System Enables Simultaneous Optogenetic Amplification and Inversion in Saccharomyces cerevisiae for Bidirectional Control of Gene Expression,10.1021.acssynbio.1c00229,yMAL360,Saccharomyces cerevisiae,linalool (linalool),0.36 ± 0.01 mg/L,synthetic complete medium with 2% glucose,glucose,2%,shake flask fermentation,5.0,48 h,30 °C,yMAL310,,ERG20;McLIS;ObGES;OptoQ-AMP4,,,,yes
41.0,The Neurospora crassa Inducible Q System Enables Simultaneous Optogenetic Amplification and Inversion in Saccharomyces cerevisiae for Bidirectional Control of Gene Expression,10.1021.acssynbio.1c00229,yMAL360,Saccharomyces cerevisiae,geraniol (Geraniol),1.4 ± 0.1 mg/L,synthetic complete medium with 2% glucose,glucose,2%,shake flask fermentation,5.0,48 h,30 °C,yMAL310,,ERG20;McLIS;ObGES;OptoQ-AMP4,,,,yes
,,,,,,,,,,,,,,,,,,,,
42.0,Transforming yeast peroxisomes into microfactories for the efficient production of high-value isoprenoids,10.1073.pnas.2013968117,PERLim02,Saccharomyces cerevisiae,(R)-(+)-limonene ((R)-(+)-limonene),35.68 mg/L,Galactose-based media,Galactose,Not specified,Batch cultivation,Not specified,Not specified,Not specified,EGY48,,ClLimS;EfmvaE;EfmvaS;Erg12p;Erg19p;Erg20p;Erg20p(N127W);Erg8p;Idi1p,,,,yes
42.0,Transforming yeast peroxisomes into microfactories for the efficient production of high-value isoprenoids,10.1073.pnas.2013968117,PERLim30,Saccharomyces cerevisiae,(S)-(-)-limonene ((S)-(-)-limonene),19.24 mg/L,Glucose-based media,Glucose,Not specified,Batch cultivation,Not specified,Not specified,Not specified,PER-Lim05;PERLim28,,ClLimS;ClLimS-SKL;ERG12-SKL;ERG19-SKL;ERG20(N127W)-SKL;ERG8-SKL;EfmvaE;EfmvaE-SKL;EfmvaS;EfmvaS-SKL;Erg12p;Erg19p;Erg20p;Erg20p(N127W);Erg8p;IDI1-SKL;Idi1p;MsLimH;MsLimH/CYP71D95;MsLimS;MsLimS-SKL;TcCPR,ClLimS (Citrus limon);MsLimH/CYP71D95 (Mentha spicata);MsLimS (Mentha spicata);TcCPR (Taxus cuspidata),,,yes
