paper number,doi,strain,strain type,product,product titer,medium,carbon source,carbon source concentration,vessel and feed mode,ph,time,temperature,parent strain,knock out gene,overexpress gene,heterologous gene,check
P45,10.1016.j.enzmictec.2019.109437,BDPP102,Pseudomonas putida,mevalonate (mevalonate),4.90-fold higher than that of BDPP101,not specified,not specified,not specified,not specified,not specified,not specified,not specified,BDPP101;P. putida KT2440,,atoB;mvaE;mvaES;mvaS,atoB (P. putida KT2440);mvaE (Enterococcus faecalis);mvaS (Enterococcus faecalis),yes
,,,,,,,,,,,,,,,,,
P46,10.1016.j.jbiosc.2020.05.003,A.hydrophila 4AK4,Aeromonas hydrophila,PHB (polyhydroxybutyrate),0.03g/L,MS medium with 2g/L yeast extract and 10g/L acetate,acetate,10g/L,shake flask culture,,24h,30°C,,,acs;acsAh;phaAB;pta-ackA;pta-ackAAh,,no
P46,10.1016.j.jbiosc.2020.05.003,4AK4 (pMCS-phaAB-acs),Aeromonas hydrophila,PHBV (Poly(3-hydroxybutyrate-co-3-hydroxyvalerate)),3.63g/L,"MS medium with 2g/L yeast extract, 10g/L acetate, and 2g/L propionate",acetate and propionate,10g/L and 2g/L,shake flask culture,,24h,30°C,A.hydrophila 4AK4,,acs;acsAh;phaAB;pta-ackA;pta-ackAAh,,no
P46,10.1016.j.jbiosc.2020.05.003,4AK4 (pMCS-phaAB-acsAh),Aeromonas hydrophila,PHBV (Poly(3-hydroxybutyrate-co-3-hydroxyvalerate)),3.79g/L,"MS medium with 2g/L yeast extract, 10g/L acetate, and 2g/L propionate",acetate and propionate,10g/L and 2g/L,shake flask culture,,24h,30°C,A.hydrophila 4AK4,,acs;acsAh;phaAB;pta-ackA;pta-ackAAh,,yes
,,,,,,,,,,,,,,,,,
P47,10.1016.j.jbiosc.2020.07.013,BJAiEPGY,Escherichia coli,"DAP (1,5-diaminopentane)",20.7g/L,LB,Lysine,50g/L,Flask,ND,27h,37°C,BL21(DE3),puuA;speE;speG;ygjG,,dCas9 (not specified),no
P47,10.1016.j.jbiosc.2020.07.013,BJAiY,Escherichia coli,"DAP (1,5-diaminopentane)",20g/L,LB,Lysine,50g/L,Flask,ND,27h,37°C,BL21(DE3),ygjG,,dCas9 (not specified),no
P47,10.1016.j.jbiosc.2020.07.013,BJAiY,Escherichia coli,"DAP (1,5-diaminopentane)",22.5g/L,LB,Lysine,50g/L,Flask,ND,27h,37°C,BL21(DE3),ygjG,,dCas9 (not specified),no
P47,10.1016.j.jbiosc.2020.07.013,BJAiY,Escherichia coli,"DAP (1,5-diaminopentane)",32g/L,LB,Lysine,75g/L,Flask,ND,24h,37°C,BL21(DE3),ygjG,,dCas9 (not specified),no
P47,10.1016.j.jbiosc.2020.07.013,BJAiY,Escherichia coli,"DAP (1,5-diaminopentane)",35g/L,LB,Lysine,90g/L,Flask,ND,24h,37°C,BL21(DE3),ygjG,,dCas9 (not specified),no
P47,10.1016.j.jbiosc.2020.07.013,BJAiGY,Escherichia coli,"DAP (1,5-diaminopentane)",21.5g/L,LB,Lysine,50g/L,Flask,ND,27h,37°C,BL21(DE3),speG;ygjG,,dCas9 (not specified),no
P47,10.1016.j.jbiosc.2020.07.013,BJAiGY,Escherichia coli,"DAP (1,5-diaminopentane)",47g/L,LB,Lysine,75g/L,Flask,ND,24h,37°C,BL21(DE3),speG;ygjG,,dCas9 (not specified),no
P47,10.1016.j.jbiosc.2020.07.013,WL5AiPGY,Escherichia coli,"DAP (1,5-diaminopentane)",25g/L,LB,Lysine,50g/L,Flask,ND,24h,37°C,W3110::L5,puuA;speG,,dCas9 (not specified),no
P47,10.1016.j.jbiosc.2020.07.013,BT7AiY,Escherichia coli,"DAP (1,5-diaminopentane)",36g/L,LB,Lysine,50g/L,Flask,ND,24h,37°C,BL21(DE3),ygjG,CadA,dCas9 (not specified),yes
P47,10.1016.j.jbiosc.2020.07.013,BT7AiY,Escherichia coli,"DAP (1,5-diaminopentane)",37–38g/L,LB,Lysine,50g/L,Flask,ND,27h,37°C,BL21(DE3),ygjG,CadA,dCas9 (not specified),yes
P47,10.1016.j.jbiosc.2020.07.013,BT7AiY,Escherichia coli,"DAP (1,5-diaminopentane)",40g/L,LB,Lysine,75g/L,Flask,ND,24h,37°C,BL21(DE3),ygjG,CadA,dCas9 (not specified),yes
P47,10.1016.j.jbiosc.2020.07.013,BT7AdEGYP,Escherichia coli,"DAP (1,5-diaminopentane)",37.45g/L,LB,Lysine,50g/L,Flask,ND,24h,37°C,BL21(DE3),puuA;speE;speG;ygjG,,,no
P47,10.1016.j.jbiosc.2020.07.013,BT7AiPGY,Escherichia coli,"DAP (1,5-diaminopentane)",41g/L,LB,Lysine,50g/L + 20μM PLP,Flask,ND,24h,37°C,BL21(DE3),puuA;speG,,dCas9 (not specified),no
,,,,,,,,,,,,,,,,,
P48,10.1016.j.jbiotec.2014.09.021,LJ03/pBHR68,Escherichia coli,PHB (poly(3-hydroxybutyrate)),0.16 g (g xylose) −1,mineral salt medium,xylose,20 g/L,shake flask,7,48 h,37 • C,LJ03,ndh,,,no
P48,10.1016.j.jbiotec.2014.09.021,LJ03/pBHR68,Escherichia coli,PHB (poly(3-hydroxybutyrate)),0.25 g (g glucose) −1,fermentation medium,glucose,60% (v/w),fermentor,7,28 h,37 • C,LJ03,ndh,,,no
P48,10.1016.j.jbiotec.2014.09.021,LJ03/pBHR68,Escherichia coli,PHB (poly(3-hydroxybutyrate)),0.32 g (g glucose) −1,mineral salt medium,glucose,20 g/L,shake flask,7,48 h,37 • C,LJ03,ndh,,,no
P48,10.1016.j.jbiotec.2014.09.021,LJ03/pBHR68,Escherichia coli,PHB (poly(3-hydroxybutyrate)),3.50 g/L,mineral salt medium,xylose,20 g/L,shake flask,7,48 h,37 • C,LJ03,ndh,,,no
P48,10.1016.j.jbiotec.2014.09.021,LJ23,Escherichia coli,PHB (poly(3-hydroxybutyrate)),4.61 g/L,mineral salt medium,glucose,20 g/L,shake flask,7,48 h,37 • C,,appB;ndh,,,no
P48,10.1016.j.jbiotec.2014.09.021,LJ03,Escherichia coli,PHB (poly(3-hydroxybutyrate)),6.16 g/L,mineral salt medium,glucose,20 g/L,shake flask,7,48 h,37 • C,,ndh,,,no
,,,,,,,,,,,,,,,,,
P49,10.1016.j.mec.2022.e00206,Eng,Pseudomonas putida,indigoidine (indigoidine),0.44±0.04g biomass/g glucose consumed,M9 minimal medium containing 10g/L glucose and 2g/L (NH4)2SO4,glucose,10g/L,"shake flask, batch mode",7,6h,30°C,WT,,anmK;argE;gcd;lldp;maeB;mdh;mqo-II;phaA;phaC-II;ppsA;putA;speC;tal,,no
P49,10.1016.j.mec.2022.e00206,Eng,Pseudomonas putida,indigoidine (indigoidine),0.45±0.02g biomass/g glucose,M9 minimal medium containing 10g/L glucose and 2g/L (NH4)2SO4,glucose,10g/L,"shake flask, batch mode",7,6h,30°C,WT,,anmK;argE;gcd;lldp;maeB;mdh;mqo-II;phaA;phaC-II;ppsA;putA;speC;tal,,no
P49,10.1016.j.mec.2022.e00206,PSP,Pseudomonas putida,indigoidine (indigoidine),1.8±0.3g/L,M9 minimal medium containing 10g/L glucose and 2g/L (NH4)2SO4,glucose,10g/L,"shake flask, batch mode",7,48h,30°C,Eng,PP_1444,anmK;argE;gcd;lldp;maeB;mdh;mqo-II;phaA;phaC-II;ppsA;putA;speC;tal,,yes
,,,,,,,,,,,,,,,,,
P50,10.1016.j.synbio.2019.05.002,C. glutamicum ATCC 13032,Corynebacterium glutamicum,GlcNAc (N-acetylglucosamine),0.5 g/L,LBB,"Glucose, corn syrup","100.0 g/L glucose, 10.0 g/L corn syrup",Fermentor,7,72 h,30 °C,,,,,yes
P50,10.1016.j.synbio.2019.05.002,C. glutamicum S9114,Corynebacterium glutamicum,GlcNAc (N-acetylglucosamine),3.1 g/L,LBB,"Glucose, corn syrup","100.0 g/L glucose, 10.0 g/L corn syrup",Fermentor,7,72 h,30 °C,,,,,yes
P50,10.1016.j.synbio.2019.05.002,CGGN1-GNA1,Corynebacterium glutamicum,GlcNAc (N-acetylglucosamine),4.8 g/L,LBB,"Glucose, corn syrup","100.0 g/L glucose, 10.0 g/L corn syrup",Fermentor,7,72 h,30 °C,CGGN1,gamA;nagA,GNA1,glmS,no
P50,10.1016.j.synbio.2019.05.002,CGGN2-GNA1,Corynebacterium glutamicum,GlcNAc (N-acetylglucosamine),5.4 g/L,LBB,"Glucose, corn syrup","100.0 g/L glucose, 10.0 g/L corn syrup",Fermentor,7,72 h,30 °C,,,GNA1,,no
P50,10.1016.j.synbio.2019.05.002,CGGN2-GNA1-BsglmS,Corynebacterium glutamicum,GlcNAc (N-acetylglucosamine),6.1 g/L,LBB,"Glucose, corn syrup","100.0 g/L glucose, 10.0 g/L corn syrup",Fermentor,7,72 h,30 °C,,,BsglmS;GNA1;glmS,BsglmS (Bacillus subtilis);glmS (Bacillus subtilis),no
P50,10.1016.j.synbio.2019.05.002,CGGN2-GNA1-BsglmS,Corynebacterium glutamicum,GlcNAc (N-acetylglucosamine),61 mg/g,LBB,"Glucose, corn syrup","100.0 g/L glucose, 10.0 g/L corn syrup",Fermentor,7,72 h,30 °C,,,BsglmS;GNA1;glmS,BsglmS (Bacillus subtilis);glmS (Bacillus subtilis),no
P50,10.1016.j.synbio.2019.05.002,CGGN2-GNA1-EcglmS,Corynebacterium glutamicum,GlcNAc (N-acetylglucosamine),6.4 g/L,LBB,"Glucose, corn syrup","100.0 g/L glucose, 10.0 g/L corn syrup",Fermentor,7,72 h,30 °C,,,EcglmS;GNA1;glmS,EcglmS (Escherichia coli K-12 MG1655);glmS (Escherichia coli K-12 MG1655),no
P50,10.1016.j.synbio.2019.05.002,CGGN2-GNA1-EcglmS,Corynebacterium glutamicum,GlcNAc (N-acetylglucosamine),64 mg/g,LBB,"Glucose, corn syrup","100.0 g/L glucose, 10.0 g/L corn syrup",Fermentor,7,72 h,30 °C,,,EcglmS;GNA1;glmS,EcglmS (Escherichia coli K-12 MG1655);glmS (Escherichia coli K-12 MG1655),no
P50,10.1016.j.synbio.2019.05.002,CGGN2-GNA1-CgglmS,Corynebacterium glutamicum,GlcNAc (N-acetylglucosamine),6.9 g/L,LBB,"Glucose, corn syrup","100.0 g/L glucose, 10.0 g/L corn syrup",Fermentor,7,72 h,30 °C,,,CgglmS;GNA1;glmS,CgglmS (Corynebacterium glutamicum);glmS (C. glutamicum),no
P50,10.1016.j.synbio.2019.05.002,CGGN2-GNA1-CgglmS,Corynebacterium glutamicum,GlcNAc (N-acetylglucosamine),69 mg/g,LBB,"Glucose, corn syrup","100.0 g/L glucose, 10.0 g/L corn syrup",Fermentor,7,72 h,30 °C,,,CgglmS;GNA1;glmS,CgglmS (Corynebacterium glutamicum);glmS (C. glutamicum),no
,,,,,,,,,,,,,,,,,
P51,10.1016.j.synbio.2022.03.001,BCR1,E. coli,p-coumaric acid (p-coumaric acid),298.86mg/L,Not specified,Glucose,5g/L,Shake flask,Not specified,Not specified,Not specified,BAK11(DE3),,,PcTAL (Phanerochaete chrysosporium),yes
P51,10.1016.j.synbio.2022.03.001,BCR2,E. coli,p-coumaric acid (p-coumaric acid),596.53 mg/L,Not specified,Glucose,5g/L,Shake flask,Not specified,Not specified,Not specified,BAK11(DE3),,,PcTAL (Phanerochaete chrysosporium),yes
P51,10.1016.j.synbio.2022.03.001,BCR3,E. coli,p-coumaric acid (p-coumaric acid),612.25mg/L,Not specified,Glucose,5g/L,Shake flask,Not specified,Not specified,Not specified,BAK11(DE3),,,PcTAL (Phanerochaete chrysosporium),yes
P51,10.1016.j.synbio.2022.03.001,LJF1,E. coli,resveratrol (resveratrol),113.49mg/L,Not specified,Glucose,10g/L,Shake flask,Not specified,Not specified,Not specified,LJM2,endA;recA,RppA,,yes
P51,10.1016.j.synbio.2022.03.001,LJM3,E. coli,resveratrol (resveratrol),134.42mg/L,Not specified,Glucose,10g/L,Shake flask,Not specified,Not specified,Not specified,LJM2,endA;recA,,VvSTS-At4CL,yes
P51,10.1016.j.synbio.2022.03.001,LJM4,E. coli,resveratrol (resveratrol),78.32mg/L,Not specified,Glucose,10g/L,Shake flask,Not specified,Not specified,Not specified,LJM3,endA;recA,,VvSTS-At4CL,yes
,,,,,,,,,,,,,,,,,
P52,10.1016.j.xplc.2020.100079,DG-Cho,yeast,cholesterol (cholesterol),16 mg/l,SD,Glucose,2%,Shake Flask Fermentation,,120h,30°C,BY-T3;δATF2,ATF2;ERG6,DHCR24;DHCR7,ATF2 (Saccharomyces cerevisiae);DHCR24 (Danio rerio);DHCR7 (Danio rerio),yes
P52,10.1016.j.xplc.2020.100079,DG003,yeast,diosgenin (diosgenin),10mg/l,SD + Galactose,Galactose,2%,Shake Flask Fermentation,,120h,30°C,DG-Cho,ATF2;ERG6,CYP90G;DHCR24;DHCR7;DzinCYP90G6;VcCYP94N1;VvCPR,ATF2 (Danio rerio);DHCR24 (Danio rerio);DHCR7 (Danio rerio),yes
P52,10.1016.j.xplc.2020.100079,DG002,yeast,diosgenin (diosgenin),3.2mg/l,SD + Galactose,Galactose,2%,Shake Flask Fermentation,,120h,30°C,DG-Cho;DG001,ATF2;ERG6,CYP90G;DHCR24;DHCR7;DzinCYP90G6;DzinCYP94D144;VvCPR,ATF2 (Danio rerio);DHCR24 (Danio rerio);DHCR7 (Danio rerio);DzinCYP90G6 (Danio rerio);VvCPR (Vitis vinifera),yes
,,,,,,,,,,,,,,,,,
P53,10.1016.j.ymben.2008.04.001,ARG2,Escherichia coli,mGM-6H-3C-P2-GLuc (murine granulocyte-colony stimulating factor with a C-terminal 6H tag and a cleavable protein precursor),647 mg/mL,M9 minimal media,Glucose,4 g/L,Batch mode,7.4,3 days,24 1C,KGK10,ompT,,,yes
P53,10.1016.j.ymben.2008.04.001,BL21,Escherichia coli,pET42-pelB-A-6H-GLuc (pET42-pelB-A-6H-GLuc),1.3 mg/mL,TB rich media,Glucose,Not specified,Batch mode,Not specified,6 h,37 1C,,,GLuc;pelB,,yes
P53,10.1016.j.ymben.2008.04.001,BL21,Escherichia coli,pET42-pelB-A-GLuc-thr-6H (pET42-pelB-A-GLuc-thr-6H),8.4 mg/mL,M9 minimal media,Glucose,4 g/L,Batch mode,7.4,3 days,24 1C,,,GLuc;pelB,,yes
,,,,,,,,,,,,,,,,,
P54,10.1016.j.ymben.2009.08.005,DL33,Geobacillus thermoglucosidasius,acetate (Acetic acid),0.03 g/g,USYE,glucose,1%,chemostat,7,not specified,66°C,,,,,yes
P54,10.1016.j.ymben.2009.08.005,DL44,Geobacillus thermoglucosidasius,formic acid (formic acid),0.35 g/g,USYE,glucose,1%,chemostat,7,not specified,66°C,DL33,ldh;ldhA,,,no
P54,10.1016.j.ymben.2009.08.005,TM89,Geobacillus thermoglucosidasius,ethanol (ethanol),0.24 g/g,ASYE or USYE,glucose,40 mM,sealed tubes (OD 600 approx. 5.5),7,24 h,60°C,G. thermoglucosidasius 11955,ldh;ldhA,,,yes
P54,10.1016.j.ymben.2009.08.005,TM180,Geobacillus thermoglucosidasius,ethanol (ethanol),0.37 g/g,ASYE or USYE,glucose,40 mM,sealed tubes (OD 600 approx. 5.5),7,24 h,60°C,TM89,ldh;ldhA;pdh,ldh;pdh,,no
P54,10.1016.j.ymben.2009.08.005,TM242,Geobacillus thermoglucosidasius,ethanol (ethanol),0.42 g/g,ASYE or USYE,glucose,40 mM,sealed tubes (OD 600 approx. 5.5),7,24 h,60°C,TM180,ldh;ldhA;pdh;pfl;pflB,ldh;pdh,,no
P54,10.1016.j.ymben.2009.08.005,TM242,Geobacillus thermoglucosidasius,ethanol (ethanol),0.47 g/g,USYE,glucose,1%,chemostat,7,not specified,66°C,TM180,ldh;ldhA;pdh;pfl;pflB,ldh;pdh,,no
,,,,,,,,,,,,,,,,,
P55,10.1016.j.ymben.2013.08.002,R. eutropha 437-540,Ralstonia eutropha,P(95.5mol%3HB-co–4.5mol%LA) (P(95.5mol%3HB-co–4.5mol%LA)),33.9wt% of dry cell weight,MR-N medium,Glucose,20g/L,Flask cultures,7,72h,30°C,R. eutropha;R. eutropha NCIMB11599,phaC,Pct540;PhaC1437;pct540;phaC;phaC1437;phaCAB,,yes
,,,,,,,,,,,,,,,,,
P56,10.1016.j.ymben.2017.06.010,GAB8,Corynebacterium glutamicum,γ-aminobutyric acid (GABA) (γ-aminobutyric acid),27.5 ± 0.3g/L,baffled flasks containing glutamate producing (GAP-main) media,glucose,70g/L,fed-batch,8,96h,30°C,,Ncgl1221;gabP;gabT,,,yes
P56,10.1016.j.ymben.2017.06.010,GAB3,Corynebacterium glutamicum,γ-aminobutyric acid (GABA) (γ-aminobutyric acid),27.5 ± 2.5g/L,baffled flasks containing glutamate producing (GAP-main) media,glucose,70g/L,fed-batch,8,96h,30°C,,gabT,,,yes
P56,10.1016.j.ymben.2017.06.010,GAB7,Corynebacterium glutamicum,γ-aminobutyric acid (GABA) (γ-aminobutyric acid),28.7 ± 0.1g/L,baffled flasks containing glutamate producing (GAP-main) media,glucose,70g/L,fed-batch,8,96h,30°C,,gabP;gabT,,,yes
,,,,,,,,,,,,,,,,,
P57,10.1016.j.ymben.2019.01.006,S9,Escherichia coli,MCFA (Medium chain fatty acids),6.79 g/l,,glycerol,30 g/l,shake flask,6.5,48 h,30°C,,,SE_acsL641P;fdh,,no
P57,10.1016.j.ymben.2019.01.006,S9,Escherichia coli,MCFA (Medium chain fatty acids),6.68 g/l,,glycerol,30 g/l,shake flask,6.5,48 h,30°C,,,SE_acsL641P;fdh,,no
P57,10.1016.j.ymben.2019.01.006,S9,Escherichia coli,MCFA (Medium chain fatty acids),6.55 g/l,,glycerol,30 g/l,shake flask,6.5,48 h,30°C,,,SE_acsL641P;fdh,,no
,,,,,,,,,,,,,,,,,
P58,10.1016.j.ymben.2019.09.003,AK26,,isoprenol (isoprenol),0.095 g isoprenol per g glucose,minimal medium,2% glucose,,shake flask,7,48 h,30 °C,AK01,,HMGR;HMGR_Sc_co;HMGR_Sc_o;HMGS;HMGS_Sc_co;HMGS_Sc_o;MK;MK_Sc_co;PMD;atoB,,yes
P58,10.1016.j.ymben.2019.09.003,AK26,,isoprenol (isoprenol),0.14 g isoprenol per g glucose,minimal medium,2% glucose,,shake flask,7,48 h,30 °C,AK01,,HMGR;HMGR_Sc_co;HMGR_Sc_o;HMGS;HMGS_Sc_co;HMGS_Sc_o;MK;MK_Sc_co;PMD;atoB,,yes
P58,10.1016.j.ymben.2019.09.003,AK02,,isoprenol (isoprenol),1.05 g/L,EZ-Rich,1% glucose,,shake flask,,48 h,30 °C,AK01,,HMGR;HMGR_Sc_o;HMGS;HMGS_Sc_o;MK;MK_Sc_co;PMD;atoB,,yes
P58,10.1016.j.ymben.2019.09.003,AK09,,isoprenol (isoprenol),1.26 g/L,EZ-Rich,1% glucose,,shake flask,,48 h,30 °C,AK01,,HMGR;HMGR_Sa;HMGR_Sc_o;HMGS;HMGS_Sa;HMGS_Sc_o;MK;MK_Sc_co;PMD;atoB,,yes
P58,10.1016.j.ymben.2019.09.003,AK07,,isoprenol (isoprenol),1.34 g/L,EZ-Rich,1% glucose,,shake flask,,48 h,30 °C,AK01,,HMGR;HMGR_Sc_co;HMGR_Sc_o;HMGS;HMGS_Sc_co;HMGS_Sc_o;MK;MK_Sc_co;PMD;atoB,PMD (Saccharomyces cerevisiae),yes
P58,10.1016.j.ymben.2019.09.003,AK08,,isoprenol (isoprenol),1.35 g/L,EZ-Rich,1% glucose,,shake flask,,48 h,30 °C,AK01,,HMGR;HMGR_Sa;HMGR_Sc_o;HMGS;HMGS_Sc_co;HMGS_Sc_o;MK;MK_Sc_co;PMD;atoB,,yes
P58,10.1016.j.ymben.2019.09.003,AK21,,isoprenol (isoprenol),1.6 g/L,EZ-Rich,1% glucose,,shake flask,,30 h,30 °C,AK01,,HMGR;HMGR_Sc_co;HMGR_Sc_o;HMGS;HMGS_Sc_co;HMGS_Sc_o;MK;MK_Sc_co;PMD;atoB,,yes
P58,10.1016.j.ymben.2019.09.003,AK21,,isoprenol (isoprenol),2.74 g/L,minimal medium,2% glucose,,shake flask,7,63 h,30 °C,AK01,,HMGR;HMGR_Sc_co;HMGR_Sc_o;HMGS;HMGS_Sc_co;HMGS_Sc_o;MK;MK_Sc_co;PMD;atoB,,yes
P58,10.1016.j.ymben.2019.09.003,AK29,,isoprenol (isoprenol),1.81 g/L,EZ-Rich,,,,,,,AK01,,HMGR;HMGR_Sa;HMGR_Sc_o;HMGS;HMGS_Sa;HMGS_Sc_o;MK;MK_Sc_co;PMD;atoB,,yes
P58,10.1016.j.ymben.2019.09.003,AK28,,isoprenol (isoprenol),1.84 g/L,EZ-Rich,1% glucose,,shake flask,,30 h,30 °C,AK01,,HMGR;HMGR_Sa;HMGR_Sc_o;HMGS;HMGS_Sa;HMGS_Sc_o;MK;MK_Sc_co;PMD;atoB,,yes
P58,10.1016.j.ymben.2019.09.003,AK24,,isoprenol (isoprenol),246 mg/L,EZ-Rich,1% glucose,,shake flask,,48 h,30 °C,AK01,,HMGR;HMGR_Sc_o;HMGS;HMGS_Sc_o;MK;MK_Sc_co;PMD;atoB,,yes
P58,10.1016.j.ymben.2019.09.003,AK01,,isoprenol (isoprenol),513 mg/L,EZ-Rich,1% glucose,,shake flask,,48 h,30 °C,,,HMGR;HMGR_Sc_o;HMGS;HMGS_Sc_o;MK;MK_Sc_co;PMD;atoB,,yes
P58,10.1016.j.ymben.2019.09.003,AK22,,isoprenol (isoprenol),784 mg/L,EZ-Rich,1% glucose,,shake flask,,48 h,30 °C,AK01,,HMGR;HMGR_Sc_co;HMGR_Sc_o;HMGS;HMGS_Sc_co;HMGS_Sc_o;MK;MK_Sc_co;PMD;atoB,,yes
,,,,,,,,,,,,,,,,,
P59,10.1016.j.ymben.2020.04.010,MG-01,E. coli,C8-ACP (octanoyl-acyl carrier protein),3.12mmol/L,MOPS minimal,glucose,20g/L,Flask cultures,6.8,48h,37°C/30°C*induction,,fadE;tesA,TesA,,yes
P59,10.1016.j.ymben.2020.04.010,MG-01,E. coli,total free FA (total free fatty acids),8.92mmol/L,not specified,not specified,not specified,Flask cultures,6.8,48h,37°C/30°C*induction,,fadE;tesA,TesA,,yes
P59,10.1016.j.ymben.2020.04.010,MG1655 ΔtesA ΔfadE,E. coli,fatty acids (fatty acids),7.9g/L,fed-batch,glucose,"104g/L initially, 3g/L/h fed","5-L bioreactor, fed-batch",6.8,48h,37°C/30°C*induction,,fadE;tesA,TesA;TesARD−2,,yes
P59,10.1016.j.ymben.2020.04.010,MG1655 ΔtesA ΔfadE,E. coli,free C8 (octanoic acid),2.7g/L,fed-batch,glucose,"104g/L initially, 3g/L/h fed","5-L bioreactor, fed-batch",6.8,48h,37°C/30°C*induction,,fadE;tesA,TesA;TesARD−2,,yes
,,,,,,,,,,,,,,,,,
P60,10.1016.j.ymben.2022.01.012,ST10165,Saccharomyces cerevisiae,ergothioneine (ergothioneine),2.39±0.08g/L,fed-batch fermentation medium,glucose,415g/L,bioreactor with feed,5,160h,30°C,ST9929,HIS1;SPE2,MET14;STP1,,no
P60,10.1016.j.ymben.2022.01.012,ST9687,Saccharomyces cerevisiae,ergothioneine (ergothioneine),61mg/L,"minimal medium containing 60g/L EnPump substrate, 0.6% reagent A from the Enpump 200 kit (Enpresso, Germany)",EnPump substrate,60g/L,shake flask,6,72h,30°C,ST8927,HIS1,,,no
P60,10.1016.j.ymben.2022.01.012,ST9687,Saccharomyces cerevisiae,ergothioneine (ergothioneine),283mg/L,"minimal medium containing 60g/L EnPump substrate, 0.6% reagent A from the Enpump 200 kit (Enpresso, Germany)",EnPump substrate,60g/L,shake flask,6,72h,30°C,ST8927,HIS1,,,no
,,,,,,,,,,,,,,,,,
P61,10.1016.j.ymben.2022.02.004,Ms27,E. coli,ferulic acid (ferulic acid),1611.73mg/L,ZYM,glucose,30mM,"shake flask, fed-batch",7.5,24h,37°C,Ms23,mtn,ADO1;CeSAH;CeSAHase;CpADO1;SAHase,SAHase (Corynebacterium efficiens);ScSAH (Saccharomyces cerevisiae);ScSAHase (Saccharomyces cerevisiae),no
,,,,,,,,,,,,,,,,,
P62,10.1016.j.ymben.2022.08.006,EMP01-pB,Escherichia coli,butyl butyrate (butyl butyrate),78mg/L,M9,butyrate,补充了butyrate的M9培养基,"shake flask, batch culture",不提及,24h,37°C,EMP01,minCDE,ftsA;ftsZ;plsB;plsC,ProP (Escherichia coli),yes
P62,10.1016.j.ymben.2022.08.006,EMP01-pH,Escherichia coli,hexanol (hexanol),790 mg/L,M9,glucose,10gL^-1葡萄糖,"shake flask, batch culture",不提及,24h,37°C,EMP01,minCDE,ftsA;ftsZ;plsB;plsC,ProP (Escherichia coli),yes
P62,10.1016.j.ymben.2022.08.006,EMP01-pO,Escherichia coli,octanol (octanol),60 mg/L,M9,glucose,10gL^-1葡萄糖,"shake flask, batch culture",不提及,24h,37°C,EMP01,minCDE,ftsA;ftsZ;plsB;plsC,ProP (Escherichia coli),yes
P62,10.1016.j.ymben.2022.08.006,EMP01-pP,Escherichia coli,phenethyl acetate (phenethyl acetate),167 mg/L,M9,glucose,10gL^-1葡萄糖,"shake flask, batch culture",不提及,24h,37°C,EMP01,minCDE,ftsA;ftsZ;plsB;plsC,ProP (Escherichia coli),yes
,,,,,,,,,,,,,,,,,
P63,10.1016.j.ymben.2023.04.005,ATCC 824 (pCD07239),Clostridium acetobutylicum,butanol (butanol),0.20g/g,CGM,Glucose,80g/L,"2-L bioreactor, fed-batch",>5.0,72h,37°C,,,CD630_0723;CD630_0729,CD630_0723 (Clostridioides difficile);CD630_0729 (Clostridioides difficile),yes
P63,10.1016.j.ymben.2023.04.005,ATCC 824 (pCD07239),Clostridium acetobutylicum,butanol (butanol),1.38g/L,"CGM + 20% CO2, 80%H2",Glucose,8g/L,Closed serum bottle,-,72h,37°C,,,CD630_0723;CD630_0729,CD630_0723 (Clostridioides difficile);CD630_0729 (Clostridioides difficile),yes
P63,10.1016.j.ymben.2023.04.005,ATCC 824 (pCD07239),Clostridium acetobutylicum,butanol (butanol),13.8g/L,CGM,Glucose,80g/L,"2-L bioreactor, batch",-,Not specified,37°C,,,CD630_0723;CD630_0729,CD630_0723 (Clostridioides difficile);CD630_0729 (Clostridioides difficile),yes
P63,10.1016.j.ymben.2023.04.005,ATCC 824 (pCD07239),Clostridium acetobutylicum,butyrate (butyric acid),0.13g/L,"CGM + 20% CO2, 80%H2",Glucose,8g/L,Closed serum bottle,-,72h,37°C,,,CD630_0723;CD630_0729,CD630_0723 (Clostridioides difficile);CD630_0729 (Clostridioides difficile),yes
,,,,,,,,,,,,,,,,,
P64,10.1021.acs.jafc.3c06629,E. coli TYR-14B1,Escherichia coli,p-coumaric acid (p-coumaric acid),497.32 ± 2.01 mg/L,Shake-flask fermentation,Glucose,15 g/L,Static,7,48 h,37 °C,,,TAL;TAL214C;tal;tal214C,4CL (Arabidopsis thaliana);4CL214C (Arabidopsis thaliana);ROMT (Vitis vinifera);ROMT18 (Vitis vinifera);STS (Vitis vinifera);STS53 (Vitis vinifera);TAL (Rhodotorula glutinis);TAL214C (Rhodotorula glutinis),no
P64,10.1021.acs.jafc.3c06629,E. coli TYR-14B1,Escherichia coli,pterostilbene (pterostilbene),80.04 mg/L,Shake-flask,Glucose,15 g/L,Static,7,unspecified,37 °C,,,TAL;TAL214C;tal;tal214C,4CL (Arabidopsis thaliana);4CL214C (Arabidopsis thaliana);ROMT (Vitis vinifera);ROMT18 (Vitis vinifera);STS (Vitis vinifera);STS53 (Vitis vinifera);TAL (Rhodotorula glutinis);TAL214C (Rhodotorula glutinis),yes
,,,,,,,,,,,,,,,,,
