doi,product,product titer,medium,carbon source,ph,temperature,oxygen level,vessel and feed mode,gene
10.1016.j.ymben.2010.11.002,"['26.10 IgG', '26.10 IgG (26.10 IgG)', 'IgG1 variant of the 26.10 scFv antibody', 'IgG1 variant of the 26.10 scFv antibody (IgG1 variant of the 26.10 scFv antibody)', 'TM1–TM7', 'TM1–TM7 (TM1–TM7)']","['0.1–1.3mg per liter', 'approximately 2.5-fold higher than the BODIPY fluorescence exhibited by the initial library', 'approximately 3-fold enhancement in the yield of 26.10 IgG', '10–20 times more fully assembled IgG', '10–20 times more fully assembled IgG compared to the parental JUDE-1 cells', '0.1–1.3mg/L', 'nearly 10-fold higher than that of the parental JUDE-1 cells', '4mg/L', 'approximately 5-fold higher cell fluorescence']",['NU'],['Glucose'],['N/A'],['25°C'],['N/A'],['Shake flask'],"['BiP', 'Cyclophilin B', 'DnaJ', 'DnaK', 'DsbA', 'DsbC', 'FkpA', 'FkpA-DsbA chimera', 'GroEL', 'GroES', 'HSPA5', 'IgG', 'SecB', 'SecE', 'SecY', 'Skp', 'dnaK/dnaJ', 'dsbA', 'dsbC', 'fkA', 'fkA-dsbA', 'groEL/groES', 'ppiB', 'secB', 'secY/secE', 'tig', 'trigger factor']"
10.1016.j.ymben.2011.09.006,"['acetate', 'acetate (acetate)', 'glycerol', 'lactate', 'lactate (lactate)']","['66mM', '14–31% of those for the ubiCA+ strains', '23mM', 'The biomass yields on glycerol for ubiCA− mutant strains were about 14–31% of those for the ubiCA+ strains', '96mM', '55mM']","['LB+glucose', 'LB+glycerol']","['glucose', 'glycerol']",['N/A'],['37°C'],['aerobic'],['shake flask'],"['adh', 'adhE*', 'ldhA', 'pdc', 'ubiCA']"
10.1016.j.ymben.2012.07.002,"['hexanoic acid', 'hexanoic acid (Hexanoic acid)', 'n-hexanol', 'n-hexanol (n-hexanol)']","['91mg/L', '280mg/L', '469mg/L']",['Terrific Broth'],['2% glucose'],['N/A'],['30°C'],['Anaerobic'],['Batch'],"['A to B', 'AdhE2', 'AtoB', 'BktB', 'Crt', 'Egl.Ter', 'Hbd', 'PaaH1', 'Tde.Ter', 'Ter', 'adhE', 'adhE2', 'crt', 'crt1', 'frdBC', 'hbd', 'ldhA', 'mBAC', 'mBACH', 'paaH1']"
10.1016.j.ymben.2012.07.010,"['bisabolene', 'bisabolene (bisabolene)']","['540mg/L', '250mg/L', '5.2g/L', '200mg/L', '800mg/L', '400mg/L', '3.2g/L']","['glucose-based medium', 'glucose-based medium with ERG9 downregulation', 'glucose-limited fed-batch medium', 'shake flask culture medium']",['glucose'],"['5', 'Not specified']",['30°C'],['Not specified'],"['Batch', 'Fed-batch', 'Fed-batch, extended stationary phase']","['AgBIS', 'BTS1', 'ERG20', 'ERG9', 'HMG1', 'ROX1', 'YJL064W', 'YPL062W', 'arp6', 'bisabolene synthase', 'crtE', 'crtI', 'crtYB', 'erg24', 'gal80', 'prb1', 'rox1', 'ser33', 'tHMG1', 'ydr215c', 'yjl064w', 'ypl062w', 'ypl064w']"
10.1016.j.ymben.2012.08.001,"['acetate', 'acetate (acetate)', 'acetone', 'acetone (acetone)']","['122mM', '1.5g/l', '13mM', '2.8g/l', '56mM', '3.6g/l', '7.1g/l', '54mM', '4.4g/l', '22mM']","['LBAmp', 'baffled shake flask']","['-', 'glucose']","['', '4.7', '>5']",['37°C'],['aerobic'],"['100-ml batch culture', '100-ml fed-batch culture', '5-ml culture']","['AACS', 'TEIIsrf', 'YbgC', 'adc', 'ctfAB', 'teIIsrf', 'thlA', 'ybgC']"
10.1016.j.ymben.2012.08.002,"['3,4-dihydroxyphenyl acetic acid (3,4-DHPA)', 'dopamine', 'hydroxytyrosol', 'hydroxytyrosol (3,4-dihydroxyphenyl ethanol)', 'l-DOPA']","['0.74mM', '0.74 mM', '0.70 g/g', '0.08mM', '0.19mM']","['M9Y', 'M9Y, 1mM l-tyrosine']","['Glucose', 'l-DOPA', 'l-tyrosine']",['-'],['30°C'],['-'],['Shake flask'],"['ADHs', 'DDC', 'DHPR', 'FolE', 'FolM', 'FolX', 'MAO', 'PCD', 'PTPS', 'SR', 'TH', 'TYO', 'Tyrosine hydroxylase', 'feaB', 'folM', 'folX']"
10.1016.j.ymben.2012.08.006,"['acetate', 'gluconate', 'gluconate (gluconate)']","['0.14mol/mol Glu', '8.04g/l', '0.08mol/mol Glu', '0.83mol/mol Glu', '0.24g/l', '0.41g/l', '0.5g/L', '0.70mol/mol Glu']",['M9'],['glucose'],['N/A'],['37°C'],['N/A'],['batch'],"['Gdh', 'Glk', 'glk']"
10.1016.j.ymben.2012.09.002,"['NeuAc', 'NeuAc (N-acetylneuraminic acid)', 'acetate', 'acetate (acetate)', 'lactate']","['33.21gl−1', '16gl−1', '1.62g/l', '13.07gl−1', '0.79g/l', '0.26g/l', '0.12g/l', '1.36g/l', '0.30g/l', '0.19g/l', '7.85g/l', '0.64g/l']",['modified TB'],['glucose'],['7.0'],['37°C'],"['250rpm', 'regulated']","['5L fermentor', 'shake flask']","['GNA1', 'ackA', 'gapA', 'glmS', 'glmSM', 'glmSMU', 'ldhA', 'nagA', 'nagB', 'nanA', 'nanE', 'nanK', 'nanT', 'poxB', 'rffE', 'slr1975']"
10.1016.j.ymben.2012.11.008,"['isobutanol', 'isobutanol (isobutanol)']","['0.62mol/mol', '0.34mol/mol', '0.13mol/mol', '146mM', '65mM', '0.07mol/mol', '48mM', '2.6mM', '0.51mol/mol', '25mM', '3.0mM', '114mM', '0.66mol/mol', '35mM', '0.52mol/mol', '0.41mol/mol', '0.18mol/mol', '26mM', '3.7mM', '2.5mM', '0.04mol/mol', '4.9mM', '4.8mM']",['NBS'],['Glucose'],"['', 'N/A']","['37', '37°C']","['Aerobic', 'Anaerobic', 'Varies']","['100mL bottle, anaerobic', '100mL bottles, anaerobic', '250mL flask, aerobic', '250mL flasks, aerobic', '250mL flasks, aerobic or 100mL bottles, anaerobic']","['adhA', 'adhE', 'alsS', 'ilvC', 'ilvD', 'kivD', 'kivD-ilvD', 'pck', 'pck*', 'pntAB', 'tdcDE', 'yfjB']"
10.1007.s00253-006-0535-y,"['acetate', 'acetate (acetate)', 'ethanol', 'ethanol (ethanol)', 'succinate', 'succinate (succinic acid)']","['1.29 mol/mol glucose', '1.6 mol succinate/mol glucose', '1.714 mol succinate/mol glucose', '0.2 mol/mol']",['LB'],['glucose'],['7.0^*'],['37°C'],['Anaerobic^*'],['Sealed serum tubes'],"['iclR', 'ptsG', 'pyc']"
10.1007.s00253-012-4298-3,"['ethanol', 'ethanol (ethanol)', 'xylitol', 'xylitol (xylitol)']","['0.19 ± 0.01 g g−1 xylose consumed', '0.38 ± 0.01 g g−1 xylose consumed', '0.28 ± 0.02 g g−1 xylose consumed', '0.31 ± 0.01 g g−1 xylose consumed', '0.39 ± 0.003 g g−1 xylose consumed', '0.39 ± 0.01 g g−1 xylose consumed', '0.33 ± 0.02 g g−1 xylose consumed', '0.20 ± 0.003 g g−1 xylose consumed']","['(repeated data)', 'YPX']",['xylose'],['Not mentioned'],['30 °C'],['mild agitation'],"['(repeated data)', 'closed bottle']","['MAE1', 'MDH2', 'Mae1p', 'Mdh2p', 'PYC2', 'Pyc2p', 'XDH', 'XK', 'XR']"
10.1007.s10529-013-1317-0,"['lycopene', 'lycopene (lycopene)']","['4.29 mg g−1 DCW', '7.39 mg g−1 DCW', '1.52 mg g−1 DCW', '1.09 mg g−1 DCW', '2.52 mg g−1 DCW', '5.39 mg g−1 DCW', '6.85 mg g−1 DCW', '7.55 mg g−1 DCW']",['LB'],['glucose'],['N/A'],['37 °C'],['N/A'],['batch'],"['crtB', 'crtE', 'crtI', 'dxs', 'gdhA', 'gps', 'idi', 'ispD', 'ispDF', 'ispF', 'pgi', 'zwf']"
10.1038.nbt.1555,"['PHB (poly-3-hydroxybutyrate)', 'lycopene', 'lycopene (lycopene)', 'poly-3-hydroxybutyrate (PHB)']","['30% less PHB', '60%']","['MR medium with 20 g/l glucose', 'R-glycerol minimal medium pH 7.0']","['glucose', 'glycerol']","['-', '7.0']","['30 °C', '37 °C']",['-'],['shake flask'],"['CIChE', 'CrtEBI', 'bioA', 'cat', 'chlB', 'dxs', 'idi', 'ispFD', 'pha', 'phaAB', 'phaEC', 'recA']"
10.1038.nbt.3095,"['acetate', 'acetate (acetate)', 'ethanol', 'ethanol (ethanol)', 'ferruginol', 'nootkatol', 'nootkatone', 'nootkatone (nootkatone)', 'oxygenated taxanes', 'oxygenated taxanes (oxygenated taxanes)', 'taxadien-5α-acetate-10β-ol', 'taxadien-5α-acetate-10β-ol (taxadien-5α-acetate-10β-ol)', 'taxadiene']","['5.0 ± 0.1 g/L', '50 mg/L', '50 g/L', '0.8 mg/L', '18 mg/L', '2 mg/L', '40 mg/L', '1 mg/L', '0.6 mg/L', '2.3 ± 0.2 g/L', '16 mg/L', '33 mg/L', '30 mg/L', '4 mg/L', '25 mg/L']","['Glucose', 'Not specified', 'Xylose']","['glucose', 'xylose']","['', '7.0']","['', '30', '30, then 22']","['', '30%']","['', 'Bioreactor', 'Fed-batch bioreactor', 'Test tube']","['10βCYP', '10βCYP-CPR', '10βCYP26', '5αCYP', '5αCYP-CPR', 'ACS', 'AtCPR', 'CPR', 'CPS', 'HmCYP', 'HmCYP-AtCPR', 'KSL', 'PpADH3C', 'PpADHC3', 'SmCPR', 'SmCYP', 'SmCYP-SmCPR', 'TAT', 'TAT25', 'TaxE4', 'TaxE7', 'TaxE8', 'TaxS4', 'TaxS6', 'TaxS8', 'TaxS9', 'ackA', 'atpFH', 'atpFH24', 'ispA', 'pta', 'valC']"
10.1038.ncomms1494,"['bisabolane', 'bisabolene', 'bisabolene (bisabolene)']","['994±241 mg l−1', '69±7 mg l−1', '23±7 mg l−1', '66±11 mg l−1', '208 mg l−1', '35±13 mg l−1', '912±43 mg l−1', '78±14 mg l−1', '586±65 mg l−1', '389±49 mg l−1', '4±2 mg l−1', '0.01 g g−1']","['EZ-rich defined', 'M9 minimal', 'Minimal', 'Not specified', 'YEP with 1.8% Gal']","['0.2% glucose', '1% glucose', '2% glucose']",['-'],"['-', '30 °C', '37 °C']",['-'],['Shake flask'],"['Ag1', 'AgBIS', 'BIS', 'ERG20', 'Erg20', 'Erg9', 'HMGR', 'HMGS', 'MK', 'PMD', 'PMK', 'TPS-BIS', 'TPS12', 'TPS13', 'TPS3', 'atoB', 'curcumene synthase', 'idi', 'ispA', 'tHMGR', 'upc2-1']"
10.1038.ncomms2425,"['fatty acids', 'fatty acids (fatty acids)', 'myristic acid (C14:0)', 'palmitic acid (C16:0)', 'palmitic acid (C16:0) (palmitic acid (C16:0))', 'stearic acid (C18:0)', 'stearic acid (C18:0) (stearic acid (C18:0))']","['0.9 g/l', '8.6 g l−1', '0.90 g l−1', '2.04 g l-1', '8.6 g l-1', '1.42 g l-1', '2.04 g l−1', '1.42 g l−1']",['MK media'],['glucose'],['6.8'],['34 °C'],"['controlled', 'not specified']","['20-l bioreactor', 'shake flask']","['BnFatA', 'BnfatA', 'CnFatB2', 'CnfatB2', 'EGTE', 'accA', 'accABCD', 'accB', 'accC', 'accD', 'aceEF', 'fabA', 'fabD', 'fabG', 'fabH', 'fabI', 'fadD', 'gapA', 'lpdA', 'pgk', 'tesA′']"
10.1007.s10295-005-0206-5,"['ethanol', 'ethanol (ethanol)', 'lactate', 'lactate (lactate)']",['75% and 62% over glucose'],['LB'],['sorbitol'],['7.4'],['37°C'],['anaerobic'],['45 mL capped tubes'],"['PEPC', 'ackA', 'ldhA', 'pta']"
10.1007.s10295-011-0973-0,"['SHIK', 'SHIK (shikimate)', 'acetic acid', 'acetic acid (acetic acid)', 'l-DOPA', 'l-DOPA (l-3,4-dihydroxyphenylalanine)', 'l-TYR', 'l-TYR (l-tyrosine)', 'l-Tyr', 'l-Tyr (l-3,4-dihydroxyphenylalanine)']","['361 ± 30 mg/g', '42 ± 2 mg/g', '118 ± 20 mg/g', '1.4 g/l', '134 ± 4 mg/l', '32 ± 2 mg/g', '54 ± 7 mg/g', '313 ± 60 mg/l', '35 ± 1 mg/g', '0.05 g/l', '320 ± 100 mg/l', '340 ± 11 mg/l']",['M9'],['glucose'],['6.0'],['37°C'],['not specified'],['shake flask'],"['aroG fbr', 'galP', 'hpaB', 'hpaBC', 'hpaC', 'lacUV5', 'pheA', 'pheA CM', 'tktA', 'trc', 'tyrC', 'tyrR']"
10.1007.s10295-011-0978-8,"['ANTA', ""ANTA (N-(5'-adenylyl)anthranilate)"", 'L-Phe', 'L-Phe (L-phenylalanine)', 'L-Trp', 'L-Trp (L-tryptophan)', 'L-Tyr', 'L-Tyr (L-tyrosine)']","['0.9 g/l', '7.8 g/l', '10.8 g/l', '13.3 g/l', '1.4 g/l', '1.8 g/l', '0.41 g/l', '0.23 g/l', '3.6 g/l', '5.3 g/l', '0.58 g/l', '0.87 g/l', '2.8 g/l', '5.1 g/l', '0.05 g/l', '0.27 g/l']","['Modified Gerigk et al.', 'modified Gerigk et al.', 'modified Gerigk et al. + 2 g/l L-Phe, 3 g/l L-Tyr']",['Glucose'],['6.8'],"['33-38°C', '38°C']",['30%'],"['3-l fermentor, fed-batch']","['AroF', 'AroG', 'AroH', 'DAHP synthase', 'PheA', 'TnaA', 'TrpR', 'TyrA', 'aroF', 'aroF fbr', 'aroF wt', 'pheA', 'tnaA', 'trpE', 'trpE fbr D', 'trpED', 'trpR', 'tyrA']"
10.1007.s10295-012-1151-8,"['butanol', 'butanol (butanol)', 'ethanol', 'ethanol (ethanol)']","['1,637 mg l−1', '1,254 mg l−1', '2,072 mg l−1']","['LB broth', 'minimal media']",['glucose'],['not specified'],['30 °C'],"['aerobic', 'anaerobic']","['2-l flask with shaking', 'sealed serum bottle with stirring in an anaerobic jar']","['AdheI', 'AdheII', 'Bcd', 'BdhAB', 'Crt', 'Hbd', 'aceEF-lpd', 'ackA', 'adhE', 'adhP', 'adheII', 'bcd', 'crt', 'etfA', 'etfAB', 'etfB', 'frdABCD', 'hbd', 'ldhA', 'mhpF', 'pflB', 'thiL']"
10.1093.nar.gks549,"['ethanol', 'ethanol (ethanol)']","['0.4 g/L/h', '0.92 g/L/h', '0.25 g/g xylose', '0.26 g/g xylose', '0.16 g/g xylose']","['YP medium', 'YPA']","['glucose', 'xylose']",['N/A'],['30°C'],['250 rpm'],['shake-flask'],"['BGL', 'CDT', 'XDH', 'XKS', 'XR', 'csXR', 'ctXDH', 'ppXKS']"
10.1002.bit.24828,"['AMV', 'AMV (5-aminovalerate)', 'cadaverine', 'glutarate', 'lysine', 'lysine (L-lysine)']","['0.75 ± 0.21 g/L', '0.63 ± 0.07 g/L', '0.82 ± 0.03 g/L', '68 ± 2 mmol/mol', '0.86 ± 0.02 g/L', '1.53 ± 0.10 g/L', '138 ± 10 mmol/mol', '71 ± 3 mmol/mol', '2.25 ± 0.17 g/L']",['M10'],['Glucose'],['N/A'],['37°C'],['N/A'],['Shake flask'],"['DavA', 'DavB', 'DavD', 'DavT', 'cadA', 'dapA', 'davBA', 'davDT', 'ldcC', 'lysC']"
10.1016.j.jbiotec.2010.11.009,"['P(3HB-co-39.6 mol% LA)', 'P(3HB-co-39.6 mol% LA) (Poly(3-hydroxybutyrate-co-lactic acid) with 39.6 mol% lactic acid)', 'P(3HB-co-52.3 mol% LA)', 'P(3HB-co-52.3 mol% LA) (Poly(3-hydroxybutyrate-co-lactic acid) with 52.3 mole percent lactic acid)', 'P(3HB-co-67.4 mol% LA)', 'P(3HB-co-67.4 mol% LA) (Poly(3-hydroxybutyrate-co-lactic acid) with 67.4 mole percent lactic acid)', 'PLA', 'PLA (Polylactic acid)', 'acetic acid', 'acetic acid (acetic acid)', 'lactic acid', 'lactic acid (lactic acid)']","['15.2 g/l', '43 wt%', '13.1 g l −1', '4.2 wt%', '1.8 g l −1', '20 g l^-1', '53.9 wt%', '2.7 wt%', '0.8 g l −1']",['MR medium'],"['glucose', 'glucose + 2 g l^-1 3HB']","['7.0', 'N/A']",['30°C'],"['N/A', 'above 20%']","['6.6-l jar fermentor, pH-stat feeding', 'flask']","['Pct Cp', 'Pct540 Cp', 'PhaA', 'PhaAB Cn', 'PhaB', 'PhaC1 Ps6-19', 'PhaC1310 Ps6-19', 'ackA', 'acs', 'adhE', 'frdABCD', 'lacI', 'lacIq', 'ldhA', 'pflB']"
10.1016.j.jbiotec.2013.11.009,"['geranial', 'geraniol', 'geraniol (geraniol)', 'nerol', 'nerol (nerol)']","['20.8 mg/L', '134.0 mg/L', '105.2 mg/L', '98 mg/L', '129.7 mg/L', '117 mg/L', '13.3 mg/L']",['2YT'],['glycerol'],['N/A'],['30'],['250 rpm'],"['aerobic, two-phase']","['FPPS', 'GDPB', 'GEOLB', 'GES', 'GPPS', 'IDI', 'MvaD', 'MvaE', 'MvaK1', 'MvaK2', 'MvaS', 'ObCAD1', 'ObGEDH', 'YahK', 'YddN', 'YjgB', 'cat', 'mvaD', 'mvaE', 'mvaK1', 'mvaK2', 'mvaS', 'tObGES', 'yahK', 'yddN', 'yjgB']"
10.1016.j.procbio.2013.10.002,"['1,2,4-Butanetriol', '1,2,4-Butanetriol (1,2,4-Butanetriol)', 'acetic acid', 'acetic acid (acetic acid)']","['1.1 g L −1 ', '0.88 g L-1', '0.12 g L-1', '37 mg L-1', '3.5 g L −1 ']",['LB'],['d-xylose'],"['4.6', '4.8', '5.7']",['37 °C'],['Aerobic'],['Shake flask'],"['Bfd', 'Xdh', 'XylD', 'mdlC', 'xdh', 'xylA', 'xylAB', 'xylB', 'yagE', 'yjhH']"
10.1016.j.ymben.2005.02.001,"['GlcN', 'GlcN (Glucosamine)', 'GlcNAc', 'GlcNAc (N-acetylglucosamine)']","['17 g l⁻¹', '22.4 g l^-1', '4 mg l⁻¹', '6 g l⁻¹', '50 g l^-1', '75 mg l⁻¹', '45% by weight', '110 g l^-1']","['M9A', 'M9B']","['Glucose', 'Glucose + Ribose']","['6.9', '7.0', 'N/A']","['30', '37']","['20% saturation', 'N/A']","['1-L fermentor', 'Shake flask']","['AtGNA1', 'CaGNA1', 'DnagH', 'GNA1', 'GlcN-6-P N-acetyltransferase', 'ScGNA1', 'fucIK', 'glmS', 'glmS*54', 'manXYZ', 'melRAB', 'nagBACD', 'nagE', 'treB']"
10.1016.j.ymben.2005.03.001,"['acetate', 'acetate (acetate)', 'formate', 'formate (formate)', 'succinate', 'succinate (succinate)']","['1.7 mol/mol', '0.06 mol/mol', '0.5 mol/mol', '25-35% of the glucose', '40 g/L', '160 mM', '1.5 mol/mol', '80 mM', '350 mM', '1.6 mol/mol', '0.08 mol/mol']","['LB', 'not specified']",['glucose'],"['7.0', 'not specified']","['37 °C', 'not specified']","['aerobic', 'anaerobic', 'not specified']","['bioreactor', 'bioreactor, repeated feeding', 'not specified', 'shake flask', 'shake flask, CO2']","['ADH', 'B. subtilis citrate synthase', 'ICLR', 'LDH', 'PEPC', 'PFL', 'PYC', 'aceBAK', 'ack', 'ack-pta', 'adhE', 'arcA', 'citZ', 'citrate synthase', 'iclR', 'ldhA', 'pta', 'pyc']"
10.1016.j.ymben.2007.12.001,"['L-tyrosine', 'L-tyrosine (L-tyrosine)']","['270 mg/g', '9.7 g/l', '700 mg/g (estimated conversion from mg/l to mg/g based on typical cell dry weight)', '360 milligrams L-tyrosine per gram cell dry weight', '270 milligrams L-tyrosine per gram cell dry weight', '360 mg/g', '9.7 g/g (estimated conversion from g/l to g/g based on typical cell dry weight)', '$700 mg/l']",['MOPS-buffered minimal medium'],['glucose'],['Not specified'],['37'],['Not specified'],['Batch culture'],"['aroA', 'aroB', 'aroC', 'aroD', 'aroE', 'aroG', 'aroK', 'aroL', 'ppsA', 'tktA', 'tyrA', 'tyrB', 'ydiB']"
10.1016.j.ymben.2008.08.001,"['1-butanol', '1-butanol (1-butanol)', '1-propanol', '1-propanol (1-propanol)', 'ethanol', 'ethanol (ethanol)', 'isobutanol', 'isobutanol (isobutanol)']","['60 mg/L', '1.2 g/L', 'about 60 mg/L', '0.1 g/L', '0.25 g/L', 'approximately 0.1 g/L', 'o50 mg/L', '2 g/L', '30 mg/L']","['M9 + 30 g/L glucose', 'M9 + 30 g/L glucose + 8 g/L threonine']","['Glucose', 'Glucose, Threonine']",['Not specified'],"['30°C', '37°C']",['Not specified'],['Batch'],"['ADH2', 'AHAS I', 'AHAS III', 'BC', 'DadhE', 'DilvB', 'DilvI', 'DmetA', 'Dtdh', 'IlvA', 'Kivd', 'LeuA', 'LeuABCD', 'ThrA', 'ThrA fbr BC', 'adhE', 'fbr', 'ilvA', 'ilvB', 'ilvI', 'kivd', 'lacI', 'leuA', 'leuA fbr', 'leuABCD', 'metA', 'tdc', 'tdcB', 'tdh', 'thrA', 'thrA fbr', 'thrABC']"
10.1016.j.ymben.2009.07.003,"['(+)-catechin', '(+)-catechin ((+)-catechin)', 'leucocyanidin', 'leucocyanidin (leucocyanidin)']","['513 mg/L', '817 mg/L', '779 mg/L', '38.8 mg/L', '756 mg/L', '41.4 mg/L']",['modified M9'],['glucose'],['6.8'],['30 1C'],['not specified'],['batch'],"['DFR', 'DaceA', 'DaceE', 'DaceF', 'DldA', 'Dpgi', 'DpldA', 'DpldB', 'Dppc', 'LAR', 'aceE', 'aceEF', 'aceF', 'fadE', 'gcd', 'gdhA', 'glcDF', 'hycB', 'lpd', 'pgi', 'pgiDpldA', 'pgk', 'pldA', 'pldB', 'ppc', 'sdhA', 'sdhABCD']"
10.1016.j.ymben.2009.07.005,"['DHA', 'DHA (dihydroxyacetone)', 'glycerol']","['100 mg/l', '2 mol (mol glucose) À1', '700 mg/l', '200 mg/l']","['Verduyn (Trp<sup>−</sup>)', 'Verduyn (Trp<sup>−</sup>) + 0.7 M NaCl']",['Glucose'],['6.0'],['30 °C'],"['Aerobic', 'Osmotic stress, Aerobic']",['Shake flask'],"['ARA1', 'DAK1', 'DAK2', 'GCY1', 'GRE3', 'TPI1', 'YPR1', 'gdh', 'gldA']"
10.1016.j.ymben.2009.11.002,"['acetic acid', 'acetic acid (acetic acid)', 'diapolycopendioic acid', 'diapolycopendioic acid (diapolycopendioic acid)']","['0.047±0.00 mg-carotenoid/g-glucose', '1 g/l', '0.177±0.04 mg-carotenoid/g-glucose']",['M9 minimal medium'],['glucose'],['6.9'],['30 °C'],"['-', 'aerated']","['batch bioreactor', 'shake-flask']","['CRT028', 'DadhE', 'DfrdA', 'DldhA', 'DmaeB', 'DpoxB', 'Dpta', 'DpykF', 'Dzwf', 'adhE', 'crtM', 'crtN', 'crtOx', 'frdA', 'ldhA', 'maeB', 'pACMNOx', 'poxB', 'pta', 'pykF', 'zwf']"
10.1016.j.ymben.2010.02.003,"['b-hydroxymyristic acid', 'b-hydroxymyristic acid (b-hydroxymyristic acid)', 'fatty acids', 'fatty acids (fatty acids)']","['2.5 g/L/day', '4.5 g/L/day', '1.1 g/L/day']","['LB', 'not specified']",['not specified'],['not specified'],['30°C'],['not specified'],"['fed-batch fermentation', 'shake flask']","['ACC', 'ACP', 'AccA3', 'AccD6', 'AccE5', 'PTDH', 'TE', 'TesA', 'accA2', 'accB', 'accE', 'ackA-pta', 'acpP', 'adhE', 'apo-ACP', 'birA', 'fadD', 'holo-ACP', 'phosphite dehydrogenase', 'plant TE', 'sfp']"
10.1016.j.ymben.2011.01.004,"['hydrogen', 'hydrogen (hydrogen)']",['8.4 mmol H2 per litre of culture'],"['BG-11', 'semi-defined medium']","['glucose', 'not specified']","['7.0', 'not specified']","['25 °C', '37 °C']",['anaerobic'],"['sealed bottles', 'sealed bottles, with IPTG induction', 'shaker incubator, then argon sealed']","['DhoxW', 'DhyaB', 'DhybC', 'DhycE', 'DhyfG', 'DhypA1', 'DhypB1', 'DhypC', 'DhypD', 'DhypE', 'DhypF', 'DpflB', 'HoxH', 'HoxW', 'HoxY', 'HypA1', 'HypAB', 'HypCDEF', 'PFL', 'hoxE', 'hoxEFUYH', 'hoxEFUYHW', 'hoxF', 'hoxH', 'hoxU', 'hoxW', 'hoxY', 'hyaB', 'hybC', 'hycE', 'hyfG', 'hypA1', 'hypB1', 'hypC', 'hypD', 'hypE', 'hypF', 'pSynHox']"
10.1016.j.ymben.2011.04.005,"['p-coumaric acid', 'p-coumaric acid (p-coumaric acid)', 'resveratrol', 'resveratrol (resveratrol)']","['3.1 mg/L', '0.68 mg/L', '3.0 mg/L', '1.27 mg/L', '5.58-fold more', '1.90 mg/L', '3.44 mg/L']","['SD dropout', 'SD dropout + 12 mg/L tyrosine', 'SD dropout + 2% galactose', 'grape juice', 'sucrose medium']","['galactose', 'natural', 'p-coumaric acid', 'sucrose', 'tyrosine']",['N/A'],"['25°C', '30°C']",['N/A'],['batch'],"['4CL', '4CL::STS', 'STS', 'TAL', 'TAL-made', 'TAL-mutant', 'araE', 'ccdB']"
10.1016.j.ymben.2011.05.003,"['5-aminolevulinic acid (ALA)', '5-aminolevulinic acid (ALA) (5-aminolevulinic acid)']","['4.13 g/L', '0.168 g ALA per g glucose', '45.9% more than 2052 mg/L', '176 mg/L', '2052 mg/L']","['Optimized minimal medium', 'Optimized minimal medium + 0.01 g/L FeSO<sub>4</sub>·7H<sub>2</sub>O', 'modified minimal medium']",['glucose'],"['6.0-7.0', '7.0']",['37 °C'],"['225 rpm', 'monitored']","['5 L fermentor', 'Flask']","['DDppA', 'DDppADMppA', 'DMppA', 'HemA', 'dppA', 'gapA', 'gltX', 'hemA', 'hemA M', 'hemB', 'hemL', 'mppA', 'rhtA', 'udhA', 'yeaS']"
10.1016.j.ymben.2011.06.005,"['styrene', 'styrene (styrene)']","['210 mg/L', '260 mg/L', '183 mg/L', '0.051-0.072 g/g', '188 mg/L']",['MM1'],['Glucose'],['N/A'],['32°C'],['Aerobic'],['Shake flask'],"['CADC', 'EncP', 'FDC1', 'PAD1', 'PADC', 'PAL', 'PAL1', 'PAL2', 'amorphadiene oxidase', 'csrA', 'padC', 'pdc', 'tktA', 'ubix']"
10.1016.j.ymben.2011.08.001,"['FOH', 'FOH (farnesol)', 'a-farnesene', 'a-farnesene (a-farnesene)']","['17 mg/L', '380.0 mg/L', '28.7 mg/g', '17.8 mg/L', '153.6 mg/L', '0.9 mg/L', '57.6 mg/L', '86.8 mg/L']",['2YT'],"['Glycerol', 'Mevalonate']",['N/A'],['29°C'],['N/A'],['Batch'],"['DXS', 'IDI', 'MdAFS1', 'a-farnesene synthase', 'aFS', 'ispA', 'ispALaFS-SN', 'ispANaFS-SN', 'wFS']"
10.1016.j.ymben.2012.11.009,"['(2S)-pinocembrin', '(2S)-pinocembrin ((2S)-pinocembrin)']","['10.51 mg/L', '0.63 mg/L', '0.71 mg/L', '3.12 mg/L', '5.62 mg/L', '1.22 mg/L', '40.02 mg/L']",['MOPS'],['Glucose'],['Not specified'],['30 °C'],['Not specified'],['Batch'],"['4CL', 'CHI', 'CHS', 'PAL', 'aroF', 'aroG', 'aroH', 'fbr', 'matB', 'matC', 'pheA']"
