paper number,paper_number,doi,strain,strain type,product,product titer,medium,carbon source,carbon source concentration,vessel and feed mode,ph,time,temperature,parent strain,knock out gene,overexpress gene,heterologous gene
,,,,,,,,,,,,,,,,,
P310,P2184,10.1016.j.ymben.2012.07.011,H131-A3CS,Saccharomyces cerevisiae,ethanol (ethanol),0.438gg−1 xylose,YNBX medium with 10g/L xylose,xylose,10g/L,anaerobic batch cultivation in shake flasks,not mentioned,not mentioned,30°C,H131-A3SB-3,arg4;leu2,PsTAL1;PsXYL3;RKI1;RPE1;TAL1;TKL1;XYL3;XYLA,P. stipitis XYL3 (P. stipitis);Piromyces XYLA (Piromyces sp. E2);PsXYL3 (P. stipitis);XYL3 (P. stipitis);XYLA (Piromyces sp. E2)
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
P312,P167,10.1002.bit.25844,Q1,E. coli,serine (L-serine),0.26 g/g,fed batch fermentation,glucose,"7 g/L initial, 8 g/h feed",1 L fermenters with fed-batch mode,7.0,48 h,37 C,E. coli MG1655;T1,DglyA;DsdaA;DsdaB;DtdcG;glyA;sdaA;sdaB;tdcG,serA;serAmut;serB;serC,
P312,P167,10.1002.bit.25844,Q1,E. coli,serine (L-serine),0.44 g/g glucose consumed,batch fermentation,glucose,2 g/L,shake flask,7.0,24 h,37 C,E. coli MG1655;T1,DglyA;DsdaA;DsdaB;DtdcG;glyA;sdaA;sdaB;tdcG,serA;serAmut;serB;serC,
P312,P167,10.1002.bit.25844,Q1,E. coli,serine (L-serine),0.89 g/L,batch fermentation,glucose,2 g/L,shake flask,7.0,24 h,37 C,E. coli MG1655;T1,DglyA;DsdaA;DsdaB;DtdcG;glyA;sdaA;sdaB;tdcG,serA;serAmut;serB;serC,
P312,P167,10.1002.bit.25844,Q3,E. coli,serine (L-serine),0.33 g/g,fed batch fermentation,glucose,"7 g/L initial, 8 g/h feed",1 L fermenters with fed-batch mode,7.0,48 h,37 C,Q1,DglyA;DsdaA;DsdaB;DtdcG;glyA;sdaA;sdaB;tdcG,eamA;serA;serAmut;serB;serC,
P312,P167,10.1002.bit.25844,Q3,E. coli,serine (L-serine),0.43 g/g,fed batch fermentation,glucose,"7 g/L initial, 8 g/h feed",1 L fermenters with fed-batch mode,7.0,48 h,37 C,Q1,DglyA;DsdaA;DsdaB;DtdcG;glyA;sdaA;sdaB;tdcG,eamA;serA;serAmut;serB;serC,
P312,P167,10.1002.bit.25844,S1,E. coli,serine (L-serine),0.49 g/L,batch fermentation,glucose,2 g/L,shake flask,7.0,24 h,37 C,E. coli MG1655,DsdaA;sdaA,,
P312,P167,10.1002.bit.25844,T1,E. coli,serine (L-serine),0.53 g/L,batch fermentation,glucose,2 g/L,shake flask,7.0,24 h,37 C,E. coli MG1655;S1,DsdaA;DsdaB;DtdcG;sdaA;sdaB;tdcG,,
,,,,,,,,,,,,,,,,,
P313,P1026,10.1007.s12010-015-1874-x,B0016-060BC,Escherichia coli,alanine (L-alanine),0.29 g/l h,M9-1 medium,glucose,5 g/l,shake flask,7,10 h,28 °C,B0016-050;B0016-060B,ack-pta;adhE;dadX;frdA;ldhA;pflB,alaD;cI ts857-p R -p L -alaD-FRT,ALD (G. stearothermophilus B0031);alaD (G. stearothermophilus B0031)
P313,P1026,10.1007.s12010-015-1874-x,B0016-060BC,Escherichia coli,alanine (L-alanine),0.3 g,M9-1 medium,glucose,5 g/l,shake flask,7,10 h,28 °C,B0016-050;B0016-060B,ack-pta;adhE;dadX;frdA;ldhA;pflB,alaD;cI ts857-p R -p L -alaD-FRT,ALD (G. stearothermophilus B0031);alaD (G. stearothermophilus B0031)
P313,P1026,10.1007.s12010-015-1874-x,B0016-060BC,Escherichia coli,alanine (L-alanine),120.8 g/l,M9-1 medium,glucose,5 g/l,bioreactor,7,48 h,42 °C,B0016-050;B0016-060B,ack-pta;adhE;dadX;frdA;ldhA;pflB,alaD;cI ts857-p R -p L -alaD-FRT,ALD (G. stearothermophilus B0031);alaD (G. stearothermophilus B0031)
P313,P1026,10.1007.s12010-015-1874-x,B0016-060BC,Escherichia coli,alanine (L-alanine),13 g,M9-1 medium,glucose,5 g/l,shake flask,7,48 h,42 °C,B0016-050;B0016-060B,ack-pta;adhE;dadX;frdA;ldhA;pflB,alaD;cI ts857-p R -p L -alaD-FRT,ALD (G. stearothermophilus B0031);alaD (G. stearothermophilus B0031)
P313,P1026,10.1007.s12010-015-1874-x,B0016-060BC,Escherichia coli,alanine (L-alanine),2.8 g/l,M9-1 medium,glucose,5 g/l,bioreactor,7,1 h,42 °C,B0016-050;B0016-060B,ack-pta;adhE;dadX;frdA;ldhA;pflB,alaD;cI ts857-p R -p L -alaD-FRT,ALD (G. stearothermophilus B0031);alaD (G. stearothermophilus B0031)
P313,P1026,10.1007.s12010-015-1874-x,B0016-060BC,Escherichia coli,alanine (L-alanine),89.6 g/100 g glucose,M9-1 medium,glucose,5 g/l,bioreactor,7,48 h,42 °C,B0016-050;B0016-060B,ack-pta;adhE;dadX;frdA;ldhA;pflB,alaD;cI ts857-p R -p L -alaD-FRT,ALD (G. stearothermophilus B0031);alaD (G. stearothermophilus B0031)
P313,P1026,10.1007.s12010-015-1874-x,B0016-060BC,Escherichia coli,alanine (L-alanine),96 g/100 g glucose,M9-1 medium,glucose,5 g/l,bioreactor,7,48 h,42 °C,B0016-050;B0016-060B,ack-pta;adhE;dadX;frdA;ldhA;pflB,alaD;cI ts857-p R -p L -alaD-FRT,ALD (G. stearothermophilus B0031);alaD (G. stearothermophilus B0031)
P313,P1026,10.1007.s12010-015-1874-x,B0016-060BC,Escherichia coli,alanine (L-alanine),less than 0.05 g/l,M9-1 medium,glucose,5 g/l,shake flask,7,10 h,28 °C,B0016-050;B0016-060B,ack-pta;adhE;dadX;frdA;ldhA;pflB,alaD;cI ts857-p R -p L -alaD-FRT,ALD (G. stearothermophilus B0031);alaD (G. stearothermophilus B0031)
P313,P1026,10.1007.s12010-015-1874-x,B0016-060B,Escherichia coli,alanine (L-alanine),less than 0.02 g alanine/l,M9-1 medium,glucose,5 g/l,shake flask,7,10 h,28 °C,B0016-050,ack-pta;adhE;dadX;frdA;ldhA;pflB,,
,,,,,,,,,,,,,,,,,
P314,P3729,10.1186.s12934-014-0160-x,YJM49,E. coli,β-carotene (β-carotene),122.4±6.2 mg/L,shake-flask fermentation,glucose,20 g/L,shake flask,7.0,24 h,30°C,,,dxs;fni,crtB (Erwinia herbicola);crtE (Erwinia herbicola);crtI (Erwinia herbicola);crtY (Erwinia herbicola);dxs (Bacillus subtilis);fni (Bacillus subtilis)
P314,P3729,10.1186.s12934-014-0160-x,YJM49,E. coli,β-carotene (β-carotene),256.8±10.4 mg/L,shake-flask fermentation,glycerol,20 g/L,shake flask,7.0,48 h,34°C,,,dxs;fni,crtB (Erwinia herbicola);crtE (Erwinia herbicola);crtI (Erwinia herbicola);crtY (Erwinia herbicola);dxs (Bacillus subtilis);fni (Bacillus subtilis)
P314,P3729,10.1186.s12934-014-0160-x,YJM49,E. coli,β-carotene (β-carotene),3.2 g/L,fed-batch fermentation,glycerol,3 g/L/h,fermentor,7.0,80 h,34°C,,,dxs;fni,crtB (Erwinia herbicola);crtE (Erwinia herbicola);crtI (Erwinia herbicola);crtY (Erwinia herbicola);dxs (Bacillus subtilis);fni (Bacillus subtilis)
P314,P3729,10.1186.s12934-014-0160-x,YJM43,E. coli,β-carotene (β-carotene),15.2±0.4 mg/L,shake-flask fermentation,glucose,20 g/L,shake flask,7.0,24 h,30°C,E. coli BL21(DE3)/pAC-BETA,,ERG12;ERG19;ERG8;GPPS2;IDI1;IspA;crtB;crtE;crtI;crtY;dxs;dxs-1;fni;fni-1;mvaE;mvaE-mvaS-1;mvaS,crtB (Erwinia herbicola);crtE (Erwinia herbicola);crtI (Erwinia herbicola);crtY (Erwinia herbicola)
P314,P3729,10.1186.s12934-014-0160-x,"E. coli BL21(DE3)/pAC-BETA, pYJM40",E. coli,β-carotene (β-carotene),2.24±0.1 mg/L,shake-flask fermentation,glucose,20 g/L,shake flask,7.0,24 h,30°C,E. coli BL21(DE3)/pAC-BETA,,ERG12;ERG19;ERG8;GPPS2;IDI1;IspA;crtB;crtE;crtI;crtY;dxs;dxs-1;fni;fni-1;mvaE;mvaE-mvaS-1;mvaS,crtB (Erwinia herbicola);crtE (Erwinia herbicola);crtI (Erwinia herbicola);crtY (Erwinia herbicola);dxs (Bacillus subtilis)
P314,P3729,10.1186.s12934-014-0160-x,YJM41,E. coli,β-carotene (β-carotene),5.2±0.2 mg/L,shake-flask fermentation,glucose,20 g/L,shake flask,7.0,24 h,30°C,"E. coli BL21(DE3)/pAC-BETA, pYJM40",,ERG12;ERG19;ERG8;GPPS2;IDI1;IspA;crtB;crtE;crtI;crtY;dxs;dxs-1;fni;fni-1;mvaE;mvaE-mvaS-1;mvaS,crtB;crtE (Erwinia herbicola);crtI (Erwinia herbicola);crtY (Erwinia herbicola);dxs (Bacillus subtilis);fni (Bacillus subtilis)
P314,P3729,10.1186.s12934-014-0160-x,YJM44,E. coli,β-carotene (β-carotene),52.6±1.5 mg/L,shake-flask fermentation,glucose,20 g/L,shake flask,7.0,24 h,30°C,E. coli BL21(DE3),,ERG12;ERG19;ERG8;GPPS2;IDI1;IspA;crtB;crtE;crtI;crtY;dxs;dxs-1;fni;fni-1;idi1;mvaE;mvaE-mvaS-1;mvaS,crtB (Erwinia herbicola);crtE (Erwinia herbicola);crtI (Erwinia herbicola);crtY (Erwinia herbicola);idi1;mvaE (Enterococcus faecalis);mvaS (Enterococcus faecalis)
P314,P3729,10.1186.s12934-014-0160-x,YJM42,E. coli,β-carotene (β-carotene),7.86±0.2 mg/L,shake-flask fermentation,glucose,20 g/L,shake flask,7.0,24 h,30°C,E. coli BL21(DE3)/pAC-BETA,,ERG12;ERG19;ERG8;GPPS2;IDI1;IspA;crtB;crtE;crtI;crtY;dxs;dxs-1;fni;fni-1;mvaE;mvaE-mvaS-1;mvaS,crtB (Erwinia herbicola);crtE (Erwinia herbicola);crtI (Erwinia herbicola);crtY (Erwinia herbicola)
P314,P3729,10.1186.s12934-014-0160-x,YJM45,E. coli,β-carotene (β-carotene),71.4±4.3 mg/L,shake-flask fermentation,glucose,20 g/L,shake flask,7.0,24 h,30°C,E. coli BL21(DE3),,ERG12;ERG19;ERG8;GPPS2;IDI1;IspA;crtB;crtE;crtI;crtY;dxs;dxs-1;fni;fni-1;idi1;mvaE;mvaE-mvaS-1;mvaS,crtB;crtE (Erwinia herbicola);crtI;crtY (Erwinia herbicola);idi1;mvaE (Enterococcus faecalis);mvaS (Enterococcus faecalis)
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
P322,P2334,10.1016.j.ymben.2015.08.007,ST4122,Saccharomyces cerevisiae,resveratrol (resveratrol),11.66±0.57mgL−1,minimal medium with 20gL−1 glucose and 5mM tyrosine,glucose,20gL−1,shake flask,5.0,72h,30°C,,,At4CL1;HaTAL;VvVST1,
P322,P2334,10.1016.j.ymben.2015.08.007,ST4135,Saccharomyces cerevisiae,resveratrol (resveratrol),2.73±0.05mgL−1,minimal medium with 30gL−1 glucose,glucose,30gL−1,bioreactor,5.0,batch fermentation,30°C,,,At4CL1;HaTAL;VvVST1,
P322,P2334,10.1016.j.ymben.2015.08.007,ST4135,Saccharomyces cerevisiae,resveratrol (resveratrol),3.57±0.18mgL−1,defined minimal medium with 30gL−1 glucose in batch bioreactors,glucose,30gL−1,bioreactor,5.0,batch fermentation,30°C,,,At4CL1;HaTAL;VvVST1,
P322,P2334,10.1016.j.ymben.2015.08.007,ST4152,Saccharomyces cerevisiae,resveratrol (resveratrol),200mgL−1,defined minimal medium with 30gL−1 glucose in batch bioreactors,glucose,30gL−1,bioreactor,5.0,batch fermentation,30°C,CEN.PK102-5B;ST4140,,At4CL1;HaTAL;ScACC1S659A;ScARO4K229L;ScARO7G141S;VvVST1,At4CL1 (Arabidopsis thaliana);HaTAL (H. aurantiacus);VvVST1 (Vitis vinifera)
P322,P2334,10.1016.j.ymben.2015.08.007,ST4152,Saccharomyces cerevisiae,resveratrol (resveratrol),222.08mgL−1,fed-batch fermentation with feeding of glucose,glucose,15.93gL−1,bioreactor,5.0,fed-batch fermentation,30°C,CEN.PK102-5B;ST4140,,At4CL1;HaTAL;ScACC1S659A;ScARO4K229L;ScARO7G141S;VvVST1,At4CL1 (Arabidopsis thaliana);HaTAL (H. aurantiacus);VvVST1 (Vitis vinifera)
P322,P2334,10.1016.j.ymben.2015.08.007,ST4152,Saccharomyces cerevisiae,resveratrol (resveratrol),235.57±7.00mgL−1,defined minimal medium with 30gL−1 glucose in batch bioreactors,glucose,30gL−1,bioreactor,5.0,batch fermentation,30°C,CEN.PK102-5B;ST4140,,At4CL1;HaTAL;ScACC1S659A;ScARO4K229L;ScARO7G141S;VvVST1,At4CL1 (Arabidopsis thaliana);HaTAL (H. aurantiacus);VvVST1 (Vitis vinifera)
P322,P2334,10.1016.j.ymben.2015.08.007,ST4152,Saccharomyces cerevisiae,resveratrol (resveratrol),333.57mgL−1,fed-batch fermentation with feeding of ethanol,ethanol,16.63gL−1,bioreactor,5.0,fed-batch fermentation,30°C,CEN.PK102-5B;ST4140,,At4CL1;HaTAL;ScACC1S659A;ScARO4K229L;ScARO7G141S;VvVST1,At4CL1 (Arabidopsis thaliana);HaTAL (H. aurantiacus);VvVST1 (Vitis vinifera)
P322,P2334,10.1016.j.ymben.2015.08.007,ST4123,Saccharomyces cerevisiae,resveratrol (resveratrol),4.48±0.22 to mgL−1,minimal medium with 20gL−1 glucose and 5mM tyrosine,glucose,20gL−1,shake flask,5.0,72h,30°C,,,At4CL1;HaTAL;VvVST1,
P322,P2334,10.1016.j.ymben.2015.08.007,ST4124,Saccharomyces cerevisiae,resveratrol (resveratrol),4.69±0.39mgL−1,minimal medium with 20gL−1 glucose and 5mM tyrosine,glucose,20gL−1,shake flask,5.0,72h,30°C,,,At4CL1;HaTAL;VvVST1,
P322,P2334,10.1016.j.ymben.2015.08.007,ST4136,Saccharomyces cerevisiae,resveratrol (resveratrol),4.85±0.31mgL−1,defined minimal medium with 30gL−1 glucose in batch bioreactors,glucose,30gL−1,bioreactor,5.0,batch fermentation,30°C,,,ScARO4K229L;ScARO7G141S,
P322,P2334,10.1016.j.ymben.2015.08.007,ST4140,Saccharomyces cerevisiae,resveratrol (resveratrol),6.39±0.03mgL−1,defined minimal medium with 30gL−1 glucose in batch bioreactors,glucose,30gL−1,bioreactor,5.0,batch fermentation,30°C,CEN.PK102-5B,,ScACC1S659A;ScARO4K229L;ScARO7G141S,At4CL1 (Arabidopsis thaliana);HaTAL (H. aurantiacus);VvVST1 (Vitis vinifera)
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
P325,P3753,10.1186.s12934-015-0301-x,W036,Escherichia coli,Neurosporene (Neurosporene),2.05 mg/g DCW,Auto-inducing medium,Glucose,Not specified,"Flask, batch",Not specified,Not specified,37°C,,,,
P325,P3753,10.1186.s12934-015-0301-x,P036,Escherichia coli,Neurosporene (Neurosporene),2.56 mg/g DCW,Auto-inducing medium,Glucose,Not specified,"Flask, batch",Not specified,Not specified,37°C,,pgi,,
P325,P3753,10.1186.s12934-015-0301-x,KA036,Escherichia coli,Neurosporene (Neurosporene),2.56 mg/g DCW,Auto-inducing medium,Glucose,Not specified,"Flask, batch",Not specified,Not specified,37°C,wild-type strain,pfkA,,
P325,P3753,10.1186.s12934-015-0301-x,KB036,Escherichia coli,Neurosporene (Neurosporene),2.56 mg/g DCW,Auto-inducing medium,Glucose,Not specified,"Flask, batch",Not specified,Not specified,37°C,wild-type strain,pfkB,,
P325,P3753,10.1186.s12934-015-0301-x,KAB036,Escherichia coli,Neurosporene (Neurosporene),2.56 mg/g DCW,Auto-inducing medium,Glucose,Not specified,"Flask, batch",Not specified,Not specified,37°C,wild-type strain,pfkA;pfkB,,
P325,P3753,10.1186.s12934-015-0301-x,F036,Escherichia coli,Neurosporene (Neurosporene),2.05 mg/g DCW,Auto-inducing medium,Glucose,Not specified,"Flask, batch",Not specified,Not specified,37°C,wild-type strain,fbaB,,
P325,P3753,10.1186.s12934-015-0301-x,Z036,Escherichia coli,Neurosporene (Neurosporene),2.46 mg/g DCW,Auto-inducing medium,Glucose,Not specified,"Flask, batch",Not specified,Not specified,37°C,wild-type strain,zwf,,
P325,P3753,10.1186.s12934-015-0301-x,E036,Escherichia coli,Neurosporene (Neurosporene),2.28 mg/g DCW,Auto-inducing medium,Glucose,Not specified,"Flask, batch",Not specified,Not specified,37°C,wild-type strain,eda,,
P325,P3753,10.1186.s12934-015-0301-x,D036,Escherichia coli,Neurosporene (Neurosporene),1.64 mg/g DCW,Auto-inducing medium,Glucose,Not specified,"Flask, batch",Not specified,Not specified,37°C,wild-type strain,edd,,
P325,P3753,10.1186.s12934-015-0301-x,TX036,Escherichia coli,Neurosporene (Neurosporene),3.20 mg/g DCW,Auto-inducing medium,Glucose,Not specified,"Flask, batch",Not specified,Not specified,37°C,,dxs,,
P325,P3753,10.1186.s12934-015-0301-x,SX036,Escherichia coli,Neurosporene (Neurosporene),5.03 mg/g DCW,Auto-inducing medium,Glucose,Not specified,"Flask, batch",Not specified,Not specified,37°C,,dxs,,
P325,P3753,10.1186.s12934-015-0301-x,TX-SX036,Escherichia coli,Neurosporene (Neurosporene),5.30 mg/g DCW,Auto-inducing medium,Glucose,Not specified,"Flask, batch",Not specified,Not specified,37°C,,dxs,,
P325,P3753,10.1186.s12934-015-0301-x,PTX036,Escherichia coli,Neurosporene (Neurosporene),6.94 mg/g DCW,Auto-inducing medium,Glucose,Not specified,"Flask, batch",Not specified,Not specified,37°C,,dxs;pgi,,
P325,P3753,10.1186.s12934-015-0301-x,P-SX036,Escherichia coli,Neurosporene (Neurosporene),9.40 mg/g DCW,Auto-inducing medium,Glucose,Not specified,"Flask, batch",Not specified,Not specified,37°C,,dxs,,
P325,P3753,10.1186.s12934-015-0301-x,P-SX036,Escherichia coli,Neurosporene (Neurosporene),2.56 mg/g DCW,Auto-inducing medium,Glucose,Not specified,"Flask, batch",Not specified,Not specified,37°C,,dxs,,
P325,P3753,10.1186.s12934-015-0301-x,PTX-SX036,Escherichia coli,Neurosporene (Neurosporene),10.71 mg/g DCW,Auto-inducing medium,Glucose,Not specified,"Flask, batch",Not specified,Not specified,37°C,,dxs;pgi,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
P327,P1315,10.1016.j.biortech.2015.06.108,KJ122,Escherichia coli,succinate (succinate),0.81g/g xylose,AM1 mineral salts medium,xylose,10%,batch fermentation,7.0,up to 120h,37°C,,ptsI,galP,
P327,P1315,10.1016.j.biortech.2015.06.108,KJ122,Escherichia coli,succinate (succinate),0.88g/g glucose (metabolized),AM1 mineral salts medium,glucose,10%,batch fermentation,7.0,up to 120h,37°C,,ptsI,galP,
P327,P1315,10.1016.j.biortech.2015.06.108,KJ122,Escherichia coli,succinate (succinate),44.17±0.78g/L,AM1 mineral salts medium,glucose,5%,batch fermentation,7.0,up to 96h,37°C,,ptsI,galP,
P327,P1315,10.1016.j.biortech.2015.06.108,AS1600a,Escherichia coli,succinate (succinate),0.88g/g sugar metabolized,AM1 mineral salts medium,xylose,10%,batch fermentation,7.0,up to 120h,37°C,KJ122,ptsI,galP,
P327,P1315,10.1016.j.biortech.2015.06.108,AS1600a,Escherichia coli,succinate (succinate),84.26±1.37g/L,AM1 mineral salts medium,xylose,10%,batch fermentation,7.0,up to 120h,37°C,KJ122,ptsI,galP,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
P329,P2329,10.1016.j.ymben.2015.07.006,adh1-5Δgpd1Δgpd2 [SDBN],Saccharomyces cerevisiae,"2,3-butanediol (2,3-butanediol)",0.37g/g,SC-His,glucose,50g/L,shake flask fed-batch,6,72h,30°C,CEN.PK2-1C,ADH;ADH1;GPD1;GPD2,BDH1;PFBA1;PTPI1;alsD;alsS;nox,BDH1 (S. cerevisiae);alsD (B. subtilis);alsS (B. subtilis);noxE (L. lactis IL1403)
P329,P2329,10.1016.j.ymben.2015.07.006,adh1-5Δgpd1Δgpd2 [SDBN],Saccharomyces cerevisiae,"2,3-butanediol (2,3-butanediol)",18.5g/L,SC-His,glucose,100g/L,shake flask fed-batch,6,51h,30°C,CEN.PK2-1C,ADH;ADH1;GPD1;GPD2,BDH1;PFBA1;PTPI1;alsD;alsS;nox,BDH1 (S. cerevisiae);alsD (B. subtilis);alsS (B. subtilis);noxE (L. lactis IL1403)
P329,P2329,10.1016.j.ymben.2015.07.006,adh1-5Δgpd1Δgpd2Δ [SDB],Saccharomyces cerevisiae,"2,3-butanediol (2,3-butanediol)",10.5g/L,SC-His,glucose,50g/L,shake flask fed-batch,6,36h,30°C,CEN.PK2-1C,ADH;ADH1;GPD1;GPD2,BDH1;PFBA1;PTPI1;alsD;alsS,BDH1 (S. cerevisiae);alsD (B. subtilis);alsS (B. subtilis);noxE (L. lactis IL1403)
P329,P2329,10.1016.j.ymben.2015.07.006,WT [SDB],Saccharomyces cerevisiae,"2,3-butanediol (2,3-butanediol)",11.3g/L,SC-His,glucose,50g/L,shake flask fed-batch,6,24h,30°C,CEN.PK2-1C,,BDH1;PFBA1;PTPI1;alsD;alsS,BDH1 (S. cerevisiae);alsD (B. subtilis);alsS (B. subtilis);noxE (L. lactis IL1403)
P329,P2329,10.1016.j.ymben.2015.07.006,WT [SDB],Saccharomyces cerevisiae,ethanol (ethanol),6.0g/L,SC-His,glucose,50g/L,shake flask fed-batch,6,24h,30°C,CEN.PK2-1C,,BDH1;PFBA1;PTPI1;alsD;alsS,BDH1 (S. cerevisiae);alsD (B. subtilis);alsS (B. subtilis);noxE (L. lactis IL1403)
P329,P2329,10.1016.j.ymben.2015.07.006,WT [SDB],Saccharomyces cerevisiae,glycerol (glycerol),6.6g/L,SC-His,glucose,50g/L,shake flask fed-batch,6,24h,30°C,CEN.PK2-1C,,BDH1;PFBA1;PTPI1;alsD;alsS,BDH1 (S. cerevisiae);alsD (B. subtilis);alsS (B. subtilis);noxE (L. lactis IL1403)
P329,P2329,10.1016.j.ymben.2015.07.006,adh1Δ [SDB],Saccharomyces cerevisiae,"2,3-butanediol (2,3-butanediol)",13.3g/L,SC-His,glucose,50g/L,shake flask fed-batch,6,27h,30°C,CEN.PK2-1C,ADH;ADH1,BDH1;PFBA1;PTPI1;alsD;alsS,BDH1 (S. cerevisiae);alsD (B. subtilis);alsS (B. subtilis);noxE (L. lactis IL1403)
P329,P2329,10.1016.j.ymben.2015.07.006,adh1Δ [SDB],Saccharomyces cerevisiae,"2,3-butanediol (2,3-butanediol)",3.4g/L,SC-His,glucose,50g/L,shake flask fed-batch,6,27h,30°C,CEN.PK2-1C,ADH;ADH1,BDH1;PFBA1;PTPI1;alsD;alsS,BDH1 (S. cerevisiae);alsD (B. subtilis);alsS (B. subtilis);noxE (L. lactis IL1403)
P329,P2329,10.1016.j.ymben.2015.07.006,adh1Δ [SDB],Saccharomyces cerevisiae,ethanol (ethanol),3.4g/L,SC-His,glucose,50g/L,shake flask fed-batch,6,27h,30°C,CEN.PK2-1C,ADH;ADH1,BDH1;PFBA1;PTPI1;alsD;alsS,BDH1 (S. cerevisiae);alsD (B. subtilis);alsS (B. subtilis);noxE (L. lactis IL1403)
P329,P2329,10.1016.j.ymben.2015.07.006,WT [C],Saccharomyces cerevisiae,ethanol (ethanol),22.0g/L,SC-His,glucose,50g/L,shake flask fed-batch,6,24h,30°C,CEN.PK2-1C,,PFBA1;PTPI1,BDH1;alsD (B. subtilis);alsS (B. subtilis);noxE (L. lactis IL1403)
,,,,,,,,,,,,,,,,,
P330,P2330,10.1016.j.ymben.2015.07.007,TGFA091-14,yeast,ethanol (ethanol),4.53g/L,fermentation medium,glucose,100g/L,"shake flask, fed-batch",5.5,24h,30°C,TGFA091-13,,FUM1;KGD2;KGD2-SUCLG2;KSSS;P160A;RoFUM1;RoMDH;RoMDH-P160A;RoMDH-P160A & RoPYC;RoPYC;SDH1;SFC1;SUCLG2;SpMAE1,
P330,P2330,10.1016.j.ymben.2015.07.007,TGFA091-14,yeast,fumarate (fumarate),0.29g/g,fermentation medium,glucose,100g/L,"shake flask, fed-batch",5.5,24h,30°C,TGFA091-13,,FUM1;KGD2;KGD2-SUCLG2;KSSS;P160A;RoFUM1;RoMDH;RoMDH-P160A;RoMDH-P160A & RoPYC;RoPYC;SDH1;SFC1;SUCLG2;SpMAE1,
P330,P2330,10.1016.j.ymben.2015.07.007,TGFA091-14,yeast,fumarate (fumarate),28.64g/L,fermentation medium,glucose,100g/L,"shake flask, fed-batch",5.5,24h,30°C,TGFA091-13,,FUM1;KGD2;KGD2-SUCLG2;KSSS;P160A;RoFUM1;RoMDH;RoMDH-P160A;RoMDH-P160A & RoPYC;RoPYC;SDH1;SFC1;SUCLG2;SpMAE1,
P330,P2330,10.1016.j.ymben.2015.07.007,TGFA091-15,yeast,fumarate (fumarate),0.23g/g,fermentation medium,glucose,100g/L,"shake flask, fed-batch",5.5,24h,30°C,TGFA091-14,,FUM1;KGD2;KGD2-SUCLG2;KSSS;P160A;RoFUM1;RoMDH;RoMDH-P160A;RoMDH-P160A & RoPYC;RoPYC;SDH1;SFC1;SUCLG2;SpMAE1,
P330,P2330,10.1016.j.ymben.2015.07.007,TGFA091-15,yeast,fumarate (fumarate),22.50g/L,fermentation medium,glucose,100g/L,"shake flask, fed-batch",5.5,24h,30°C,TGFA091-14,,FUM1;KGD2;KGD2-SUCLG2;KSSS;P160A;RoFUM1;RoMDH;RoMDH-P160A;RoMDH-P160A & RoPYC;RoPYC;SDH1;SFC1;SUCLG2;SpMAE1,
P330,P2330,10.1016.j.ymben.2015.07.007,TGFA091-13,yeast,fumarate (fumarate),0.25g/g,fermentation medium,glucose,100g/L,"shake flask, fed-batch",5.5,24h,30°C,TGFA091-12,,FUM1;KGD2;KGD2-SUCLG2;KSSS;P160A;RoFUM1;RoMDH;RoMDH-P160A;RoMDH-P160A & RoPYC;RoPYC;SDH1;SFC1;SUCLG2;SpMAE1,
P330,P2330,10.1016.j.ymben.2015.07.007,TGFA091-13,yeast,fumarate (fumarate),24.63g/L,fermentation medium,glucose,100g/L,"shake flask, fed-batch",5.5,24h,30°C,TGFA091-12,,FUM1;KGD2;KGD2-SUCLG2;KSSS;P160A;RoFUM1;RoMDH;RoMDH-P160A;RoMDH-P160A & RoPYC;RoPYC;SDH1;SFC1;SUCLG2;SpMAE1,
P330,P2330,10.1016.j.ymben.2015.07.007,R. oryzae,yeast,fumarate (fumarate),0.2mol/mol glucose,not specified,not specified,not specified,not specified,not specified,not specified,not specified,,FUM1;THI2,FUM1;RoFUM1;RoMDH;RoPYC;SpMAE1,
P330,P2330,10.1016.j.ymben.2015.07.007,TGFA091-2,yeast,fumarate (fumarate),10.80g/L,fermentation medium,glucose,100g/L,"shake flask, fed-batch",5.5,24h,30°C,TGFA091-0,,FUM1;KGD2;KSSS;RoFUM1;RoMDH;RoPYC;SDH1;SFC1;SUCLG2;SpMAE1,P160A (Rhizopus oryzae)
P330,P2330,10.1016.j.ymben.2015.07.007,TGFA091-6,yeast,fumarate (fumarate),12.02g/L,fermentation medium,glucose,100g/L,"shake flask, fed-batch",5.5,24h,30°C,TGFA091-4,,FUM1;KGD2;KSSS;P160A;RoFUM1;RoMDH;RoMDH-P160A;RoPYC;SDH1;SFC1;SUCLG2;SpMAE1,
