paper number,doi,strain names,strain type,product,product titer,medium,carbon source,carbon source concentration,vessel and feed mode,ph,time,temperature,parent strain,knock out gene,overexpress gene,heterologous gene,check
p78,10.1186.s12896-016-0284-7,BKS11,Escherichia coli,succinate (Succinate),18.17 mM,YM9,glucose,100 mM,"shake flask, batch",not specified,40 h,37 °C,BKS10,-,"pck, ecaA",-,yes
p78,10.1186.s12896-016-0284-7,BKS12,Escherichia coli,succinate (Succinate),not specified,YM9,glucose,100 mM,"shake flask, batch",not specified,-,37 °C,BKS10,-,pck,-,titer
p78,10.1186.s12896-016-0284-7,BKS14,Escherichia coli,succinate (Succinate),not specified,YM9,glucose,100 mM,"shake flask, batch",not specified,-,37 °C,BKS12,-,pck,anti-pykF**,titer
p78,10.1186.s12896-016-0284-7,BKS15,Escherichia coli,succinate (Succinate),25.51 mM,YM9,glucose,100 mM,"shake flask, batch",not specified,70 h,37 °C,BKS11,-,"pck, ecaA",anti-pykF**,yes
,,,,,,,,,,,,,,,,,
p79,10.1186.s12934-014-0104-5,RF01S,Escherichia coli,riboflavin (Riboflavin),229.1 mg/L,LB,glucose,1%,shake flask,not specified,not specified,37°C,E. coli MG1655,-,ribABDEC (from E. coli),-,yes
p79,10.1186.s12934-014-0104-5,RF05S,Escherichia coli,riboflavin (Riboflavin),585.2 mg/L,LB,glucose,1%,shake flask,not specified,not specified,37°C,RF01S,"pgi, edd, eda",acs,-,yes
p79,10.1186.s12934-014-0104-5,RF05S-M40,Escherichia coli,riboflavin (Riboflavin),1036.1 mg/L,LB,glucose,10 g/L,shake flask,not specified,48 h,37°C,RF05S,-,-,ribF (RBS modified),yes
p79,10.1186.s12934-014-0104-5,RF05S-M40,Escherichia coli,riboflavin (Riboflavin),2702.8 mg/L,optimized semi-defined medium,glucose,5 g/L (in optimized MS medium),shake flask,not specified,not specified,31°C,RF05S,-,-,ribF (RBS modified),yes
,,,,,,,,,,,,,,,,,
p80,10.1186.s12934-014-0160-x,YJM49,E. coli,β-carotene (β-carotene),3.2 g/L,flask,glucose,20 g/L,batch,,56 h,37°C,E. coli BL21(DE3),-,"dxs, fni, GPPS2","mvaE, mvaS",yes
p80,10.1186.s12934-014-0160-x,YJM49,E. coli,β-carotene (β-carotene),256.8 mg/L,flask,glycerol,20 g/L,batch,,,34°C,E. coli BL21(DE3),-,"dxs, fni, GPPS2","mvaE, mvaS",yes
p80,10.1186.s12934-014-0160-x,YJM49,E. coli,β-carotene (β-carotene),3.2 g/L,fermentor,glycerol,continuously fed,fed-batch,7.0,56 h,"37°C, then 34°C",E. coli BL21(DE3),-,"dxs, fni, GPPS2","mvaE, mvaS",yes
,,,,,,,,,,,,,,,,,
p81,10.1186.s12934-015-0309-2,M-4CL1–CCR,Escherichia coli,"p-coumaraldehyde, caffealdehyde, coniferaldehyde (p-coumaraldehyde, caffealdehyde, coniferaldehyde)","49 mg/L, 19 mg/L, 35 mg/L",LB,Not specified,1 mM (for each phenylpropanoic acid),Batch culture,Not specified,4-32 h,37°C,E. coli M15,None mentioned,4CL1-CCR,4CL1-CCR (from P. tomentosa),yes
p81,10.1186.s12934-015-0309-2,B-4CL1–CCR,Escherichia coli,p-coumaraldehyde (p-coumaraldehyde),49 mg/L,LB,Not specified,1 mM p-coumaric acid,Batch culture,Not specified,Not specified,37°C,E. coli BL21 (DE3),None mentioned,4CL1-CCR,4CL1-CCR (from P. tomentosa),yes
,,,,,,,,,,,,,,,,,
p82,10.1186.s12934-015-0381-7,Mach1,Escherichia coli,lycopene (lycopene),0.38 mg OD^-1600,LB,not specified,not specified,shake flask,not specified,not specified,30 °C,WG1,-,dxs,-,OE
p82,10.1186.s12934-015-0381-7,MG1655\*,Escherichia coli,lycopene (lycopene),0.03 mg OD^-1600,LB,not specified,not specified,shake flask,not specified,not specified,30 °C,WG1,rpoS,dxs,-,yes
p82,10.1186.s12934-015-0381-7,Seq+,Escherichia coli,lycopene (lycopene),high,LB,not specified,not specified,shake flask,not specified,not specified,30 °C,MG1655,-,dxs,-,titer
p82,10.1186.s12934-015-0381-7,E. coli W,Escherichia coli,lycopene (lycopene),-,LB,not specified,not specified,shake flask,not specified,not specified,30 °C,-,-,dxs,-,titer
p82,10.1186.s12934-015-0381-7,BB,Escherichia coli,lycopene (lycopene),-,LB,not specified,not specified,shake flask,not specified,not specified,30 °C,-,-,dxs,-,titer
p82,10.1186.s12934-015-0381-7,MG1655\* (complemented),Escherichia coli,lycopene (lycopene),increased,LB,not specified,not specified,shake flask,not specified,not specified,30 °C,MG1655\*,rpoS (knocked out),dxs,-,yes
p82,10.1186.s12934-015-0381-7,Seq+ (katE induced),Escherichia coli,lycopene (lycopene),increased,LB,not specified,not specified,shake flask,not specified,not specified,30 °C,Seq+,-,dxs,katE (induced),yes
p82,10.1186.s12934-015-0381-7,Seq+ (menadione treated),Escherichia coli,lycopene (lycopene),decreased,LB,not specified,not specified,shake flask,not specified,not specified,30 °C,Seq+,-,dxs,-,yes
p82,10.1186.s12934-015-0381-7,various strains,Escherichia coli,isoprene (isoprene),not specified,TB,not specified,not specified,shake flask and bioreactor,6.9 (bioreactor),not specified,30 °C,various,-,ispS(L70R),-,titer
,,,,,,,,,,,,,,,,,
p83,10.1186.s12934-016-0545-0,C. glutamicum ATCC 21850 (pEC-vioABCDE),Corynebacterium glutamicum,violacein (violacein),532 mg L−1,fermentation medium,glucose,60 g L−1,batch,7.2,72 h,30 °C,C. glutamicum ATCC 21850,-,vioABCDE,vioABCDE (C. violaceum),yes
p83,10.1186.s12934-016-0545-0,C. glutamicum ATCC 21850 (pEC-J-vio1),Corynebacterium glutamicum,violacein (violacein),629 mg L−1,fermentation medium,glucose,60 g L−1,batch,7.2,72 h,"30 °C, shifted to 20 °C",C. glutamicum ATCC 21850,-,vioABCDE,vioABCDE (J. lividum),yes
p83,10.1186.s12934-016-0545-0,C. glutamicum ATCC 21850 (pEC-J-vio2),Corynebacterium glutamicum,violacein (violacein),815 mg L−1,fermentation medium,glucose,60 g L−1,batch,7.2,72 h,"30 °C, shifted to 20 °C",C. glutamicum ATCC 21850,-,synthetic vioABCDE,vioABCDE (J. lividum) with synthetic RBS,yes
p83,10.1186.s12934-016-0545-0,C. glutamicum ATCC 21850 (pEC-C-vio1),Corynebacterium glutamicum,violacein (violacein),1116 mg L−1,fermentation medium,glucose,60 g L−1,batch,7.2,72 h,"30 °C, shifted to 20 °C",C. glutamicum ATCC 21850,-,synthetic vioABCDE,vioABCDE (C. violaceum) with synthetic RBS,yes
p83,10.1186.s12934-016-0545-0,C. glutamicum ATCC 21850 (pEC-C-vio1),Corynebacterium glutamicum,violacein (violacein),5436 mg L−1,fermentation medium,glucose,60 g L−1 (initial) + 51 g L−1 (fed-batch),fed-batch,7.0,100 h,30 °C (initial) shifted to 20 °C,C. glutamicum ATCC 21850,-,synthetic vioABCDE,vioABCDE (C. violaceum) with synthetic RBS,yes
,,,,,,,,,,,,,,,,,
p84,10.1186.s12934-016-0595-3,"S. elongatus PCC 7942 (CRISPRi: sdhA1, sdhA2, sdhB1, sdhB2)",Synechococcus elongatus,succinate (succinate),≈0.58-0.63 mg/L,nitrate-deplete BG-11 (0×N),not specified,not specified,shake flask culture,not specified,not specified,30 °C,S. elongatus PCC 7942,None (suppression via CRISPRi),,,KO
,,,,,,,,,,,,,,,,,
p85,10.1186.s12934-017-0642-8,Bacillus licheniformis CGMCC2876,Bacillus,Polysaccharide (Polysaccharide),8.45 g/L,γ-PGA production medium + Glucose,Glucose,10 g/L,Batch,7.2,24 h,37 °C,-,-,-,-,yes
p85,10.1186.s12934-017-0642-8,Bacillus licheniformis CGMCC2876,Bacillus,γ-PGA (Poly-gamma-glutamic acid),Decreased by 61.62%,γ-PGA production medium + Glucose,Glucose,10 g/L,Batch,7.2,24 h,37 °C,-,-,-,-,yes
,,,,,,,,,,,,,,,,,
p86,10.1186.s12934-017-0666-0,BL21(DE3),Escherichia coli,l-pipecolic acid (l-pipecolic acid),0.39 g/L,minimal media,glucose,10 g/L,shake flask,7.0,48 h,25 °C,E. coli BL21(DE3),-,"dapA, lysC, lysA",pipA (from Streptomyces pristinaespiralis),yes
p86,10.1186.s12934-017-0666-0,BL21-dapA-lysC-lysA-pipA,Escherichia coli,l-pipecolic acid (l-pipecolic acid),0.69 g/L,minimal media,glucose,10 g/L,shake flask,-,48 h,-,BL21(DE3),-,"dapA, lysC, lysA",pipA,yes
p86,10.1186.s12934-017-0666-0,BL21-dapA-lysC-lysA-pntAB-pipA,Escherichia coli,l-pipecolic acid (l-pipecolic acid),0.53 g/L,modified LB,glucose,5 g/L,shake flask,-,48 h,-,BL21-dapA-lysC-lysA-pipA,-,"dapA, lysC, lysA, pntAB",pipA,yes
p86,10.1186.s12934-017-0666-0,BL21-dapA-lysC-lysA-pntAB-pipA,Escherichia coli,l-pipecolic acid (l-pipecolic acid),5.33 g/L,fed-batch fermenter,glucose,"15 g/L, fed to maintain ~5 g/L",7.5 L fermentor,7.0,36 h,25 °C after induction,BL21(DE3),-,"dapA, lysC, lysA, pntAB",pipA,yes
,,,,,,,,,,,,,,,,,
p87,10.1186.s12934-018-0951-6,PATW076,Saccharomyces cerevisiae,pelargonidin 3-O-glucoside (pelargonidin 3-O-glucoside),0.01 µmol/g CDW (intracellular),SMG,glucose,20 g/L,shake flask,-,65 h,30 °C,IMK393,"exg1Δ, spr1Δ, tsc13Δ","atPAL1↑, coC4H↑, coCPR1↑, atCHI1↑, atCHS3↑, coCHS3↑, at4CL3↑, coF3H↑, coGhDFR↑, coANS↑, co3GT↑, coCHS3↑, coTAL1↑, coMdECR","A. thaliana F3H (coF3H), G. hybrida DFR (coGhDFR), A. thaliana ANS (coANS), UGT78D2 (co3GT), R. capsulatus TAL (coTAL1), M. domestica ECR (coMdECR)",yes
,,,,,,,,,,,,,,,,,
p88,10.1186.s12934-019-1072-6,AB3 (xfpk(BB)),Saccharomyces cerevisiae,acetate (acetate),-,defined minimal medium,glucose,"20 g L^-1 (batch), 7.5 g L^-1 (chemostat)",batch & chemostat,"4, 5, 6",-,30°C,CEN.PK 113-5D,-,PTEF1-xfpk (B. breve),xfpk (B. breve),titer
,,,,,,,,,,,,,,,,,
p89,10.1186.s12934-022-01964-5,C. autoethanogenum [PThl-Atf1],Clostridium autoethanogenum,ethyl acetate (ethyl acetate),0.2 mM,modified ATCC medium 1754 PETC,CO,170 kPa CO,"serum bottles, batch",not specified,not specified,37°C,C. autoethanogenum JA1-1,-,PThl-Atf1,Atf1 (Saccharomyces cerevisiae),yes
p89,10.1186.s12934-022-01964-5,C. autoethanogenum [PPta-AckA-Atf1],Clostridium autoethanogenum,ethyl acetate (ethyl acetate),< 0.2 mM,modified ATCC medium 1754 PETC,CO,170 kPa CO,"serum bottles, batch",not specified,not specified,37°C,C. autoethanogenum JA1-1,-,PPta-AckA-Atf1,Atf1 (Saccharomyces cerevisiae),yes
p89,10.1186.s12934-022-01964-5,C. autoethanogenum [PPta-AckA-Eat1],Clostridium autoethanogenum,ethyl acetate (ethyl acetate),< 0.01 mM,modified ATCC medium 1754 PETC,CO,170 kPa CO,"serum bottles, batch",not specified,not specified,37°C,C. autoethanogenum JA1-1,-,PPta-AckA-Eat1,Eat1 (Kluyveromyces marxianus),yes
p89,10.1186.s12934-022-01964-5,C. autoethanogenum [PThl-Eat1],Clostridium autoethanogenum,ethyl acetate (ethyl acetate),< 0.01 mM,modified ATCC medium 1754 PETC,CO,170 kPa CO,"serum bottles, batch",not specified,not specified,37°C,C. autoethanogenum JA1-1,-,PThl-Eat1,Eat1 (Kluyveromyces marxianus),yes
p89,10.1186.s12934-022-01964-5,C. autoethanogenum Δpta,Clostridium autoethanogenum,ethyl acetate (ethyl acetate),decreased*,modified ATCC medium 1754 PETC,CO,170 kPa CO,"serum bottles, batch",not specified,not specified,37°C,C. autoethanogenum JA1-1,pta,-,-,yes
p89,10.1186.s12934-022-01964-5,C. autoethanogenum ΔadhE1a,Clostridium autoethanogenum,ethyl acetate (ethyl acetate),decreased*,modified ATCC medium 1754 PETC,CO,170 kPa CO,"serum bottles, batch",not specified,not specified,37°C,C. autoethanogenum JA1-1,adhE1a,-,-,yes
,,,,,,,,,,,,,,,,,
p90,10.1186.s12934-023-02070-w,E. coli,Escherichia coli,L-Phenylalanine (L-Phenylalanine),60 g/L,Custom defined,Glucose (Glc),20 g/L,"7-L Bioreactor, Fed-batch",7.0,48 hours,33-37 °C,E. coli W3110,tyrosine auxotrophic genes,"aroF, pheAfbr",,yes
,,,,,,,,,,,,,,,,,
p91,10.1186.s13068-017-0969-8,C. glutamicum PDO1,Corynebacterium glutamicum,"1,2-propanediol (1,2-propanediol)",2.6 ± 0.1 mM,Shaking flask,Pyrolysis water (1 h HT PW) + YE,"1 h HT PW, 5 g YE L−1",Batch,6.5,6 h,30 °C,C. glutamicum wild-type,-,gldA,gldA (E. coli),yes
p91,10.1186.s13068-017-0969-8,C. glutamicum PDO2,Corynebacterium glutamicum,"1,2-propanediol (1,2-propanediol)",18.3 ± 1.2 mM,Bioreactor (two-phase aerobic/microaerobic),Pyrolysis water (1 h HT PW) + YE,"8.6% (v/v) PW, YE",Fed-batch,7.4,-,30 °C,C. glutamicum Δpqo ΔaceE ΔldhA Δmdh,"pqo, aceE, ldhA, mdh",gldA,gldA (E. coli),yes
,,,,,,,,,,,,,,,,,
p92,10.1186.s13068-023-02288-1,Ap3HP6,Aspergillus,3-hydroxypropionic acid (3-HP) (3-hydroxypropionic acid),3.4 g/l,modified production medium B (mRDM),Glucose,Not specified,Shake flask,Not specified,7 days,30°C,A. pseudoterreus ATCC 32359,-,"3HP pathway (PAND, BAPAT, HPDH)",-,yes
p92,10.1186.s13068-023-02288-1,An3HP9,Aspergillus,3-HP (3-hydroxypropionic acid),6.8 g/l,mRDM,Glucose,Not specified,Shake flask,Not specified,7 days,30°C,A. niger ATCC 1015,-,"3HP pathway (PAND, BAPAT, HPDH)",-,yes
p92,10.1186.s13068-023-02288-1,An3HP9/aat5,Aspergillus,3-HP (3-hydroxypropionic acid),Increased up to 43%,mRDM,Glucose,Not specified,Shake flask,Not specified,7 days,30°C,An3HP9,-,aat,-,yes
p92,10.1186.s13068-023-02288-1,An3HP9/pyc2,Aspergillus,3-HP (3-hydroxypropionic acid),Increased up to 93%,mRDM,Glucose,Not specified,Shake flask,Not specified,7 days,30°C,An3HP9,-,pyc,-,yes
p92,10.1186.s13068-023-02288-1,An3HP9/pyc2/ald6aΔ,Aspergillus,3-HP (3-hydroxypropionic acid),16.5 g/l (83% increase),mRDM,Glucose,Not specified,Shake flask,Not specified,7 days,30°C,An3HP9/pyc2,ald6a,-,-,yes
p92,10.1186.s13068-023-02288-1,An3HP9/pyc2/ald6aΔ/3HP-6,Aspergillus,3-HP (3-hydroxypropionic acid),20.5 g/l (53% improvement),mRDM,Glucose,Not specified,Shake flask,Not specified,7 days,30°C,An3HP9/pyc2/ald6aΔ,ald6a,-,-,yes
,,,,,,,,,,,,,,,,,
p93,10.1186.s40643-020-00321-x,J#9,Komagataella phaffii,Monacolin J (MJ) (Monacolin J),0.14 mmol/L (50.3 mg/L),YNM,Methanol,0.5% (w/v),"Shake flask, batch with feed",Not specified,96 hours,30 °C,K. phaffii GS115,,tapA,tapA from A. terreus,OE
p93,10.1186.s40643-020-00321-x,J#9-TapA,Komagataella phaffii,Monacolin J (MJ) (Monacolin J),0.14 mmol/L (50.3 mg/L) to 2.71 mmol/L (975.5 mg/L)*,"YNM, 5-L stirred tank bioreactor",Methanol,1% (v/v),"Bioreactor, fed-batch",Not specified,"96 hours, 52-72 hours*",30 °C,J#9,,tapA,tapA from A. terreus,yes
p93,10.1186.s40643-020-00321-x,GS-PGAP-TapA,Komagataella phaffii,Monacolin J (MJ) (Monacolin J),,YPD,Not specified,,Shake flask,Not specified,Varying,30 °C,K. phaffii GS115,,tapA,tapA from A. terreus,titer
,,,,,,,,,,,,,,,,,
p94,10.1186.s40643-021-00431-0,F5,Yarrowia lipolytica,α-farnesene (α-farnesene),25.55 g/L,YP medium,glucose,-,shake flask,-,96 h,30 °C,-,-,"all MVA pathway genes, FSERG20 (2x)",FSERG20 (apple seed origin),strain
p94,10.1186.s40643-021-00431-0,F6,Yarrowia lipolytica,α-farnesene (α-farnesene),-,YP medium,oleic acid,-,shake flask,-,-,30 °C,F5,-,FSERG20 (1x),FSERG20,titer
p94,10.1186.s40643-021-00431-0,F7,Yarrowia lipolytica,α-farnesene (α-farnesene),increased by 7%,YP medium,oleic acid,-,shake flask,-,96 h,30 °C,F5,-,FSERG20 (2x),FSERG20,yes
p94,10.1186.s40643-021-00431-0,F8,Yarrowia lipolytica,α-farnesene (α-farnesene),"titer not specified, increased by up to 26.8%",YP medium,oleic acid,-,shake flask,-,96 h,30 °C,F5,-,ERG12,-,titer
p94,10.1186.s40643-021-00431-0,F9,Yarrowia lipolytica,α-farnesene (α-farnesene),2.16 g/L,YP medium,oleic acid,50 g/L,shake flask,-,96 h,30 °C,F5,-,"2FSERG20, ERG12","FSERG20, ERG12",
p94,10.1186.s40643-021-00431-0,F10,Yarrowia lipolytica,α-farnesene (α-farnesene),"2.3 g/L (shake flask), 10.2 g/L (fed-batch)",YP medium,oleic acid,"50 g/L, fed-batch","shake flask, 5 L bioreactor",6.0,"96 h, 168 h",30 °C,F9,CAN1,VHb,VHb (Vitreoscilla stercoraria origin),yes
,,,,,,,,,,,,,,,,,
p95,10.3389.fbioe.2015.00048,SA01,Synechococcus,Lauric acid (C12:0) (Lauric acid (C12:0)),8.7 mg L<sup>−1</sup>,A+,CO2,1%,Batch,-,48 h,34°C,Synechococcus sp. PCC 7002,fadD,fatB1,fatB1 from Umbellularia californica,yes
p95,10.3389.fbioe.2015.00048,SA13,Synechococcus,Lauric acid (C12:0) (Lauric acid (C12:0)),5.9 mg L<sup>−1</sup>,A+,CO2,1%,Batch,-,48 h,34°C,ΔglgC,fadD,fatB1,fatB1 from Umbellularia californica,yes
,,,,,,,,,,,,,,,,,
p96,10.3389.fbioe.2019.00475,ATCC12518Tc,Azotobacter vinelandii,alginate (alginate),8.3 g/l,0.5x RA1,fructose,10 g/l,shake flask,7.2,not specified,30°C,ATCC12518,mucA (up-mutant),,,KO
p96,10.3389.fbioe.2019.00475,ATCC12518Tc derivative,Azotobacter vinelandii,alginate (alginate),increased,fermentor,fructose,50 g/l,fermentor (batch),7.2,not specified,30°C,ATCC12518,algW (down-mutant),,,yes
p96,10.3389.fbioe.2019.00475,dxs-1::TnCAM140,Azotobacter vinelandii,alginate (alginate),very low or none,not specified,various,not specified,not specified,not specified,not specified,not specified,A. vinelandii,dxs-1,,,yes
,,,,,,,,,,,,,,,,,
p97,10.3389.fbioe.2020.00300,Escherichia coli W3110-BL,Escherichia coli,L-Methionine (L-Met) (L-Methionine),1.48 g/L,Fermentation medium,Glucose,20 g/L,Batch,6.8 ± 0.2,19 h,"37°C (initially), 28°C (after IPTG addition)",E. coli W3110,Not specified,Not specified,Not specified,KO
,,,,,,,,,,,,,,,,,
p98,10.3390.jof8080822,SA-Dct-02,Saccharomyces cerevisiae,succinic acid (succinic acid),26.2 g/L,unbuffered,glycerol,75.6 g/L,"shake flask, batch",naturally drops (initial ~6.5),96 h,30 °C,SA,,Dct-02,Dct-02,yes
,,,,,,,,,,,,,,,,,
p99,10.3390.molecules28041758,P1-1 (E-M3-3/C-rbs2-alkJ),E. coli,ω-AmDDA (ω-aminododecanoic acid),7.98 ± 0.19 mM,-,DDA,-,-,-,-,-,P1-1,-,cyp153a-ncpG307A/R14R/D629G,AlkJ,yes
p99,10.3390.molecules28041758,"B3-2 (P1-1, ΔyfeX-T10::Ptac-hemB-T1 (E-M3-3/C-rbs2-alkJ))",E. coli,ω-AmDDA (ω-aminododecanoic acid),2.02 ± 0.03 g/L,-,DDA,10 mM,-,-,8 h,-,P1-1,yfeX,cyp153a-ncpG307A/R14R/D629G,"AlkJ, hemB (overexpression)",yes
,,,,,,,,,,,,,,,,,
p100,10.3390.polym11030509,HR002,Escherichia coli,PHB (Poly(3-hydroxybutyrate)),2.1 g/L,M9 minimal,glucose,2%,batch,,48 h,30 °C,BW25113(DE3),"pflb, ldhA, adhE, fnr",pntAB,"bktB, phaB, phaC from R. eutropha",yes
